Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
6.40091042,104294.1022122609,-1196898.885017717,1196898.885017717
6.57632863,406998.3968308589,-1139835.6862243544,1139835.6862243544
6.75655422,282346.2869518526,-939917.0379711619,939917.0379711619
6.94171892,226362.86417170663,-1003634.4578652085,1003634.4578652085
7.1319581,274618.0266487163,-922952.6976070654,922952.6976070654
7.32741083,265041.27353701106,-799070.9791833647,799070.9791833647
7.52821997,262404.9677466303,-945560.8631248678,945560.8631248678
7.73453233,251447.36692620243,-957099.105179005,957099.105179005
7.94649871,283198.76622723695,-832367.0815262361,832367.0815262361
8.16427408,236853.3250573685,-849457.9665086283,849457.9665086283
8.38801763,196448.76521624447,-799796.1044293575,799796.1044293575
8.61789291,157044.4730385882,-682407.5441258893,682407.5441258893
8.85406797,181622.81834862955,-758846.952696323,758846.952696323
9.09671545,195950.64035112443,-732832.3709301748,732832.3709301748
9.34601274,202209.61893648145,-730133.9276013031,730133.9276013031
9.60214206,189189.14396486484,-785612.9128894922,785612.9128894922
9.86529067,168070.15327721954,-689974.8066732377,689974.8066732377
10.1356509,142489.37295116478,-754825.7915516996,754825.7915516996
10.4134204,145584.15499493346,-720718.4455872589,720718.4455872589
10.6988023,180103.23440739687,-702983.6696893404,702983.6696893404
10.9920051,156167.66457520262,-691844.4490098563,691844.4490098563
11.2932431,180478.88778390604,-615593.9810457815,615593.9810457815
11.6027367,162534.69071397578,-601962.5978767382,601962.5978767382
11.920712,156475.08312789214,-624799.2119829963,624799.2119829963
12.2474015,163681.2317475252,-573088.6256556942,573088.6256556942
12.5830439,120180.41899688201,-573271.575838785,573271.575838785
12.9278847,117196.99059305066,-596806.6781347882,596806.6781347882
13.282176,131896.79658412165,-565451.3709627824,565451.3709627824
13.6461766,110368.45434236413,-538150.0139245061,538150.0139245061
14.0201528,79201.71754629102,-518796.64442971686,518796.64442971686
14.4043778,89861.26142419624,-503968.75812751224,503968.75812751224
14.7991327,102934.83927655523,-507755.08586092235,507755.08586092235
15.2047058,63510.12443865506,-527133.4369563684,527133.4369563684
15.6213938,105462.51091457826,-479272.144792888,479272.144792888
16.0495012,81239.5323695014,-481338.7025423105,481338.7025423105
16.4893409,99396.73898287016,-479126.39831876213,479126.39831876213
16.9412346,87704.70621195507,-441727.12273091386,441727.12273091386
