Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
17.0952944,139281.25254376532,-718951.3923004098,718951.3923004098
17.3279596,259051.79445490864,-686502.6626125029,686502.6626125029
17.5637914,215613.49195878414,-692042.5111186587,692042.5111186587
17.8028328,116896.63657224039,-830500.6607910346,830500.6607910346
18.0451275,175398.60322429793,-780082.3064889886,780082.3064889886
18.2907198,198053.53936511188,-702667.3491455461,702667.3491455461
18.5396546,217294.22275606505,-700751.7415412719,700751.7415412719
18.7919774,189332.1437423993,-771810.9125428929,771810.9125428929
19.0477343,131590.06162045768,-687277.3183316372,687277.3183316372
19.306972,179754.99070258296,-700403.9538944336,700403.9538944336
19.5697379,114946.47676086398,-673384.5021936224,673384.5021936224
19.8360801,248489.74182257502,-623255.289982669,623255.289982669
20.1060471,230414.99543141818,-686288.4542554743,686288.4542554743
20.3796883,208199.96254305102,-627993.959789294,627993.959789294
20.6570538,199559.74831668905,-686576.057672797,686576.057672797
20.9381942,191115.7441649005,-644865.2841212618,644865.2841212618
21.2231608,210659.7058444713,-617430.888008742,617430.888008742
21.5120059,173223.75741845154,-599048.8746313301,599048.8746313301
21.8047821,122915.04865460229,-625867.1908371864,625867.1908371864
22.1015429,216763.66724582695,-648402.3946819528,648402.3946819528
22.4023426,159019.9135891132,-561216.6507768052,561216.6507768052
22.7072362,154411.9811481071,-625541.4615502997,625541.4615502997
23.0162794,188598.4173049165,-601046.194515024,601046.194515024
23.3295286,256989.31114887187,-569831.0325577133,569831.0325577133
23.6470411,143342.68837899924,-559905.390796386,559905.390796386
23.9688749,221286.77932562694,-565994.4852590683,565994.4852590683
24.2950888,154769.43687940759,-589778.2520681117,589778.2520681117
24.6257425,128243.80988813766,-530217.8448172566,530217.8448172566
24.9608963,186301.7420654024,-560598.9906709347,560598.9906709347
25.3006115,155139.98226452895,-567758.0707820986,567758.0707820986
25.6449502,138415.9628971051,-487851.40960392955,487851.40960392955
25.9939754,141421.5130055817,-554859.159457389,554859.159457389
26.3477507,106492.36729470908,-499634.89965912426,499634.89965912426
26.7063409,150376.7669097587,-461578.2637923725,461578.2637923725
27.0698115,110907.34220299088,-504183.76752940484,504183.76752940484
27.4382288,201514.14418429456,-505099.1916798725,505099.1916798725
27.8116603,137390.84865276795,-489537.78062851407,489537.78062851407
28.1901741,148192.50096258352,-468836.4754912227,468836.4754912227
28.5738395,101819.83389979288,-486450.87545329705,486450.87545329705
28.9627265,142833.8317635583,-532951.494515208,532951.494515208
29.3569063,155816.34658517997,-474532.1262371415,474532.1262371415
29.7564507,155231.6409082232,-484914.3596451602,484914.3596451602
30.161433,115100.26745857386,-491658.7609418679,491658.7609418679
30.571927,136112.10104365533,-456288.07092011406,456288.07092011406
30.9880078,132548.44931415105,-450360.9960525276,450360.9960525276
31.4097514,121704.41043859127,-463810.6781671992,463810.6781671992
31.8372349,141995.90142699415,-463290.6163775105,463290.6163775105
32.2705364,116358.28918008014,-455594.64415656694,455594.64415656694
32.7097351,116644.80095763718,-418197.39618919167,418197.39618919167
33.1549112,142422.16770517774,-443380.4078674482,443380.4078674482
33.6061461,114556.00143527523,-439033.26776966883,439033.26776966883
34.0635223,126952.7289745431,-421231.5823913142,421231.5823913142
34.5271234,116709.21810193127,-406691.920667889,406691.920667889
34.997034,141040.47393073628,-429608.7180714322,429608.7180714322
35.47334,94344.88942511534,-388136.8499871652,388136.8499871652
35.9561285,102470.09663231824,-411566.4840691503,411566.4840691503
36.4454878,131871.16448983396,-394350.0846331381,394350.0846331381
36.9415071,129999.77442406466,-381108.5529439778,381108.5529439778
37.4442772,106489.04001304334,-370200.62227662746,370200.62227662746
37.95389,105944.45974342,-406668.8499483226,406668.8499483226
38.4704385,110504.38668331371,-394108.66464960773,394108.66464960773
38.9940173,135396.8439335344,-380259.51390702947,380259.51390702947
39.5247218,144403.24405619697,-385260.30254348746,385260.30254348746
40.0626492,132415.6932386499,-393965.61036654096,393965.61036654096
40.6078978,136718.4585989982,-393863.12965706154,393863.12965706154
41.1605671,117260.10465679836,-371517.1374808996,371517.1374808996
41.7207582,86860.08114369042,-377253.56335972744,377253.56335972744
42.2885734,69961.4265610008,-342921.5942409424,342921.5942409424
42.8641166,74766.38313000057,-326237.8442856826,326237.8442856826
43.4474928,106994.06010544309,-327097.39803592046,327097.39803592046
44.0388087,106084.82514087319,-365408.1993780908,365408.1993780908
44.6381724,65270.228215041076,-330911.6587415734,330911.6587415734
45.2456933,120144.65867791444,-294567.14362063794,294567.14362063794
45.8614826,125477.4597621039,-371197.7820119672,371197.7820119672
46.4856526,89503.2821914124,-294904.5420807516,294904.5420807516
47.1183176,109960.71347500918,-331965.64770272735,331965.64770272735
47.7595931,75531.84594538975,-310503.4610529752,310503.4610529752
48.4095962,109800.07314973869,-314666.1238967398,314666.1238967398
49.0684459,60436.46696760554,-298762.5252843895,298762.5252843895
49.7362624,127382.3583868037,-336840.90703502833,336840.90703502833
50.4131678,88526.7432933061,-269699.7542287092,269699.7542287092
51.0992858,71726.05246941192,-310160.97493984364,310160.97493984364
51.7947419,113680.89761731589,-297513.8571367691,297513.8571367691
52.499663,76761.33786033605,-264179.8374440955,264179.8374440955
53.214178,74563.42873378292,-282790.72830404714,282790.72830404714
53.9384175,90303.68629381197,-311009.66595790465,311009.66595790465
54.6725138,103561.57204279069,-298007.83001732663,298007.83001732663
55.4166011,112907.48642543898,-268059.18161857355,268059.18161857355
56.1708154,87785.10413559072,-243485.77255606072,243485.77255606072
56.9352944,70051.86382096028,-252993.1873766861,252993.1873766861
57.7101779,63504.09965504004,-261694.97099926078,261694.97099926078
58.4956075,61211.82779144891,-255870.41703349826,255870.41703349826
59.2917267,66307.81688027777,-265137.7189286753,265137.7189286753
60.0986811,58679.50724715232,-248697.05078069068,248697.05078069068
60.9166179,56837.36974314985,-252207.29980162636,252207.29980162636
61.7456869,75538.7385571611,-240338.6298592189,240338.6298592189
62.5860393,76833.66186053414,-230178.86483970023,230178.86483970023
63.4378289,70897.63467495274,-218993.53157919733,218993.53157919733
64.3012112,87345.49138888637,-226962.43547763146,226962.43547763146
65.1763441,110672.63736695977,-232981.5761473511,232981.5761473511
66.0633875,100755.6866631471,-246181.61496173232,246181.61496173232
66.9625034,67472.55312204896,-238300.06686530772,238300.06686530772
67.8738562,66795.13809025133,-209751.7519727064,209751.7519727064
68.7976124,86494.9530245051,-216373.2749626462,216373.2749626462
69.7339408,85650.67293721136,-234698.5751780941,234698.5751780941
70.6830126,65472.79721036088,-218024.80420040712,218024.80420040712
71.6450012,73923.44061640982,-197213.39986537313,197213.39986537313
72.6200823,90259.52992366221,-225277.13337491144,225277.13337491144
73.6084341,62570.434657194,-214990.64503618423,214990.64503618423
74.6102374,83334.44460398563,-191637.807813631,191637.807813631
75.625675,69210.69566324729,-232310.75057244796,232310.75057244796
76.6549327,70220.09710869017,-197889.2193888466,197889.2193888466
77.6981985,80449.54791406936,-210621.3871694236,210621.3871694236
78.755663,62142.94346501371,-194496.87043824486,194496.87043824486
79.8275195,73418.727336869,-203627.23145283177,203627.23145283177
80.9139638,64508.66124908423,-187964.65595161598,187964.65595161598
82.0151946,72904.85076434619,-206621.594376831,206621.594376831
83.1314129,70340.57947790269,-178223.23879760815,178223.23879760815
84.2628229,74678.83059275502,-199843.9284074592,199843.9284074592
85.4096313,79213.72011233433,-172476.65540006588,172476.65540006588
86.5720476,54806.82781687255,-190393.9533778376,190393.9533778376
87.7502843,80152.86270932567,-182480.81172110155,182480.81172110155
88.9445567,68028.0015071821,-171696.53410103146,171696.53410103146
90.1550829,64553.043050012384,-187581.99808738744,187581.99808738744
91.3820844,78764.26381197815,-173353.2960893546,173353.2960893546
92.6257852,74154.28852324854,-160801.41214177234,160801.41214177234
93.8864126,58187.627753242225,-178214.8461751592,178214.8461751592
95.164197,69843.94651535637,-179603.41050937164,179603.41050937164
96.459372,79985.82764960622,-160405.71784088455,160405.71784088455
97.7721741,67257.29174274935,-157127.47195373636,157127.47195373636
99.1028434,53564.612648741044,-171291.50158331048,171291.50158331048
100.451623,65185.63147574105,-173139.06889107096,173139.06889107096
101.818759,72735.1961560285,-163227.89911276297,163227.89911276297
103.204502,75599.69351783999,-157569.8912158655,157569.8912158655
104.609105,70076.29692064572,-145966.20111535926,145966.20111535926
106.032824,67108.20375222605,-146273.39708789124,146273.39708789124
107.47592,60761.302076405,-149225.9417448243,149225.9417448243
108.938656,59387.600660287135,-155945.28576721522,155945.28576721522
110.4213,58331.30545964164,-151019.98241083455,151019.98241083455
111.924122,62416.69159224981,-147876.19206858054,147876.19206858054
113.447398,62243.74718154979,-149678.24246737838,149678.24246737838
114.991406,60523.874187931084,-149749.16844701374,149749.16844701374
116.556427,62634.45894705732,-149278.55491122414,149278.55491122414
118.142748,60645.48925438812,-146050.54029051072,146050.54029051072
119.750659,62570.42962967094,-143491.03022202963,143491.03022202963
121.380453,61876.24594202559,-148787.18352073347,148787.18352073347
123.032428,59846.89471889937,-145228.22698557656,145228.22698557656
124.706887,58309.6336868647,-138855.57892508194,138855.57892508194
