Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
3.71645866,687042.6684273195,-2307580.6201074496,2307580.6201074496
3.79598898,-133063.97055061464,-1584616.5627199747,1584616.5627199747
3.8772212,12388.072426219573,2087576.2791497856,-2087576.2791497856
3.96019176,-4299763.257052001,6870381.909394277,-6870381.909394277
4.04493784,2706345.99412148,-1601803.9238038072,1601803.9238038072
4.13149745,-669006.6132731547,-234282.7840300255,234282.7840300255
4.21990938,538188.3075483405,-231335.22303082442,231335.22303082442
4.31021329,749378.3131019505,-37699.61865481085,37699.61865481085
4.40244965,720237.9803801068,-3362473.190294463,3362473.190294463
4.49665983,-1257509.1490671027,798039.5728363036,-798039.5728363036
4.59288606,391411.0169487323,-799675.7139472375,799675.7139472375
4.69117147,564019.6072972491,2018730.873353113,-2018730.873353113
4.79156015,689881.8727826813,-32292.65744843141,32292.65744843141
4.89409709,360388.1806777473,-4440422.819123586,4440422.819123586
4.99882827,1962428.630761896,-2002567.2974078215,2002567.2974078215
5.10580064,520880.62357931334,-11820.434928494362,11820.434928494362
5.21506217,18624253.03666353,-24986352.31900848,24986352.31900848
5.32666184,-3261627.437595301,-2895808.346182889,2895808.346182889
5.44064968,-623676.7593693093,-654925.1161316854,654925.1161316854
5.55707681,2074941.2494008797,719324.0683803024,-719324.0683803024
5.67599542,-2050514.2370025064,-654008.2573099458,654008.2573099458
5.79745882,89383.3744808791,-2022909.5425729107,2022909.5425729107
5.92152148,-3427398.8452805188,1259000.1127540523,-1259000.1127540523
6.04823902,355304.62140790565,1478813.175005563,-1478813.175005563
6.17766825,-376954.3991223718,-118491.70763921253,118491.70763921253
6.3098672,-364365.89507964737,629323.3742950547,-629323.3742950547
6.44489513,-141156.87163564813,972346.9147925177,-972346.9147925177
6.5828126,336473.0861655438,804759.3028081636,-804759.3028081636
6.72368143,-327724.7118240271,327839.12930003495,-327839.12930003495
6.86756478,119112.6309148996,1187065.2120347794,-1187065.2120347794
7.01452716,-866356.3894642253,943807.2224435734,-943807.2224435734
7.16463446,-306922.7918978242,-515072.1451832436,515072.1451832436
7.31795398,163136.91967226076,-793335.0780752044,793335.0780752044
7.47455446,531401.5227285066,1467180.3643703277,-1467180.3643703277
7.63450611,-189871.83235718307,-1393331.8319352102,1393331.8319352102
7.79788065,-1364329.6733448252,-150623.39821688778,150623.39821688778
7.96475131,-416644.16330326005,388935.025119271,-388935.025119271
8.13519293,509443.98914636805,-192401.23830396033,192401.23830396033
8.3092819,-369755.80964020354,-359571.8131493503,359571.8131493503
8.48709629,127030.11737953893,268734.2909615532,-268734.2909615532
8.66871582,113388.71408491496,-325608.0338196384,325608.0338196384
8.85422192,-374233.64080948307,-433553.84574867855,433553.84574867855
9.04369775,-515936.67647714796,174634.930262577,-174634.930262577
9.23722826,990.3236420309194,567413.0742572783,-567413.0742572783
9.43490023,180967.10635633892,-699747.8798939894,699747.8798939894
9.63680228,700649.4456674586,877688.4012013723,-877688.4012013723
9.84302493,496005.98232271126,127352.69074180008,-127352.69074180008
10.0536606,659843.9808405082,417136.0488961256,-417136.0488961256
10.2688038,498929.7646250742,702062.3812396583,-702062.3812396583
10.488551,-107107.54270235452,411192.18941674137,-411192.18941674137
10.7130006,751739.0715898353,133905.12345888172,-133905.12345888172
10.9422534,-689590.7102200611,447825.4434153706,-447825.4434153706
11.176412,-417752.4817155334,-899970.6817451837,899970.6817451837
11.4155815,336093.8654646277,151752.19907960718,-151752.19907960718
11.6598692,611878.148737179,747569.0148039531,-747569.0148039531
11.9093844,-68964.57104976366,348296.53499908163,-348296.53499908163
12.1642392,332702.8980313563,-111320.83246606681,111320.83246606681
12.4245477,658895.910025859,554841.8761603509,-554841.8761603509
12.6904266,-604199.8903146716,16876.83107678803,-16876.83107678803
12.9619953,347377.8258829245,263674.1210833617,-263674.1210833617
13.2393754,-498000.0339192407,-303980.5189768515,303980.5189768515
13.5226913,519458.3253294431,182217.11781489357,-182217.11781489357
13.81207,8148.139549920544,-440378.05924111756,440378.05924111756
14.1076412,653586.8739841613,108903.92002382917,-108903.92002382917
14.4095375,21726.724425268036,-393540.2426479494,393540.2426479494
14.7178943,-315651.2492735035,412854.69558252895,-412854.69558252895
15.0328497,409536.1937538659,928542.8505708795,-928542.8505708795
15.354545,68952.97058076924,-368446.9398400889,368446.9398400889
15.6831244,-414952.35274297785,95036.77561328353,-95036.77561328353
16.0187353,-3365839.527579725,-6147831.676259141,6147831.676259141
16.3615281,-275908.31042942376,-87523.2715767696,87523.2715767696
16.7116564,241423.12296868337,323893.9675366154,-323893.9675366154
17.0692773,680454.5044788204,-687617.7796697909,687617.7796697909
17.4345511,-2118241.5249232333,1183845.1738495128,-1183845.1738495128
17.8076416,238675.29468954363,897007.7005081965,-897007.7005081965
18.1887161,391026.4384439892,214968.60366495396,-214968.60366495396
18.5779453,90912.52131662356,-367360.45431593317,367360.45431593317
18.9755039,-64937.76927772912,-400937.8961491486,400937.8961491486
19.38157,-291758.3432118482,-227127.6733175693,227127.6733175693
19.7963257,-2312187.980523559,-2541061.41193787,2541061.41193787
20.2199569,-12608.46410766258,-515905.7155497482,515905.7155497482
20.6526537,604454.9687324617,-1117916.0784246002,1117916.0784246002
21.0946099,-148663.47190260075,-477303.4565571963,477303.4565571963
21.5460238,250653.78229654036,14452.606153043302,-14452.606153043302
22.0070977,295537.29869299696,-229242.22734710746,229242.22734710746
22.4780384,483189.3731823401,277846.2127196497,-277846.2127196497
22.9590569,220071.9999854789,-1546306.4686556065,1546306.4686556065
23.450369,-1332248.068118684,1225064.8980207152,-1225064.8980207152
23.952195,-566302.7233457785,1467607.810985265,-1467607.810985265
24.4647597,-200548.41581593372,183125.86851386644,-183125.86851386644
24.9882931,145828.74462688225,-169541.55669884742,169541.55669884742
25.5230298,4790124.098026833,-9401147.877460875,9401147.877460875
26.0692096,-4730906.556656532,3763132.9935639375,-3763132.9935639375
26.6270774,130893.69745106119,-134131.75528586487,134131.75528586487
27.1968833,90809.21940464622,-189533.46178075424,189533.46178075424
27.7788827,580239.9612252545,4026586.3799373806,-4026586.3799373806
28.3733366,22987.081260566985,-3292603.3553446466,3292603.3553446466
28.9805115,-156476.58968297372,-409771.68254328467,409771.68254328467
29.6006797,432372.5610985641,1683979.943006365,-1683979.943006365
30.2341191,4924142.835452793,137543.76351943403,-137543.76351943403
30.8811138,2592923.3146882476,1270260.024696698,-1270260.024696698
31.5419539,2079237.1997411258,2914983.0459888084,-2914983.0459888084
32.2169356,-314232.49961302447,190305.96624627552,-190305.96624627552
32.9063616,189011.05388208776,-199176.09203935158,199176.09203935158
