% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 100.0000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-04 T 17:32:22 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
2.69478976e-01, -3.3983e+01, 1.7984e+02, -8.8099e+00, -1.2920e+02, -2.5173e+01, -5.0964e+01
2.75619304e-01, -3.4030e+01, -1.7969e+02, -8.6759e+00, -1.2883e+02, -2.5354e+01, -5.0864e+01
2.81899545e-01, -3.4037e+01, 1.7978e+02, -8.5162e+00, -1.2850e+02, -2.5521e+01, -5.1716e+01
2.88322888e-01, -3.3967e+01, 1.7996e+02, -8.3694e+00, -1.2822e+02, -2.5598e+01, -5.1820e+01
2.94892592e-01, -3.3919e+01, 1.7986e+02, -8.2345e+00, -1.2780e+02, -2.5685e+01, -5.2340e+01
3.01611992e-01, -3.3866e+01, -1.7958e+02, -8.0907e+00, -1.2748e+02, -2.5775e+01, -5.2099e+01
3.08484501e-01, -3.3961e+01, -1.7983e+02, -7.9435e+00, -1.2741e+02, -2.6018e+01, -5.2417e+01
3.15513606e-01, -3.3974e+01, -1.7982e+02, -7.7866e+00, -1.2703e+02, -2.6187e+01, -5.2792e+01
3.22702876e-01, -3.3989e+01, 1.7976e+02, -7.6283e+00, -1.2661e+02, -2.6361e+01, -5.3621e+01
3.30055960e-01, -3.3960e+01, -1.7971e+02, -7.4896e+00, -1.2644e+02, -2.6470e+01, -5.3266e+01
3.37576591e-01, -3.4021e+01, 1.7999e+02, -7.3490e+00, -1.2626e+02, -2.6672e+01, -5.3749e+01
3.45268586e-01, -3.4010e+01, -1.7969e+02, -7.1857e+00, -1.2595e+02, -2.6824e+01, -5.3741e+01
3.53135850e-01, -3.3872e+01, -1.7982e+02, -7.0432e+00, -1.2589e+02, -2.6829e+01, -5.3935e+01
3.61182378e-01, -3.3951e+01, -1.7919e+02, -6.8780e+00, -1.2575e+02, -2.7073e+01, -5.3445e+01
3.69412253e-01, -3.3971e+01, -1.7990e+02, -6.7186e+00, -1.2554e+02, -2.7252e+01, -5.4355e+01
3.77829653e-01, -3.4052e+01, -1.7972e+02, -6.5678e+00, -1.2528e+02, -2.7484e+01, -5.4444e+01
3.86438852e-01, -3.4014e+01, -1.7965e+02, -6.4069e+00, -1.2490e+02, -2.7608e+01, -5.4754e+01
3.95244219e-01, -3.4044e+01, -1.7984e+02, -6.2428e+00, -1.2482e+02, -2.7801e+01, -5.5020e+01
4.04250225e-01, -3.3986e+01, 1.7927e+02, -6.0991e+00, -1.2473e+02, -2.7887e+01, -5.5998e+01
4.13461440e-01, -3.3937e+01, -1.7994e+02, -5.9436e+00, -1.2480e+02, -2.7993e+01, -5.5136e+01
4.22882542e-01, -3.3967e+01, 1.7975e+02, -5.7772e+00, -1.2448e+02, -2.8190e+01, -5.5770e+01
4.32518313e-01, -3.3943e+01, -1.7978e+02, -5.6165e+00, -1.2440e+02, -2.8327e+01, -5.5380e+01
4.42373643e-01, -3.4000e+01, -1.7992e+02, -5.4594e+00, -1.2436e+02, -2.8541e+01, -5.5561e+01
4.52453536e-01, -3.3975e+01, 1.7972e+02, -5.2979e+00, -1.2414e+02, -2.8677e+01, -5.6132e+01
4.62763109e-01, -3.4022e+01, -1.7977e+02, -5.1269e+00, -1.2423e+02, -2.8895e+01, -5.5541e+01
4.73307595e-01, -3.4072e+01, -1.7989e+02, -4.9792e+00, -1.2417e+02, -2.9093e+01, -5.5727e+01
4.84092347e-01, -3.3948e+01, 1.7958e+02, -4.8160e+00, -1.2406e+02, -2.9132e+01, -5.6351e+01
4.95122840e-01, -3.3895e+01, 1.7965e+02, -4.6535e+00, -1.2412e+02, -2.9242e+01, -5.6227e+01
5.06404672e-01, -3.4044e+01, 1.7990e+02, -4.4903e+00, -1.2401e+02, -2.9554e+01, -5.6086e+01
5.17943572e-01, -3.3995e+01, 1.7996e+02, -4.3243e+00, -1.2398e+02, -2.9671e+01, -5.6063e+01
5.29745396e-01, -3.4062e+01, 1.8000e+02, -4.1791e+00, -1.2403e+02, -2.9883e+01, -5.5968e+01
5.41816135e-01, -3.3973e+01, 1.7962e+02, -4.0114e+00, -1.2404e+02, -2.9962e+01, -5.6335e+01
5.54161918e-01, -3.4101e+01, -1.7983e+02, -3.8497e+00, -1.2402e+02, -3.0252e+01, -5.5811e+01
5.66789010e-01, -3.4009e+01, 1.7970e+02, -3.6995e+00, -1.2407e+02, -3.0310e+01, -5.6233e+01
5.79703823e-01, -3.3992e+01, -1.7994e+02, -3.5267e+00, -1.2420e+02, -3.0465e+01, -5.5744e+01
5.92912911e-01, -3.4016e+01, -1.7992e+02, -3.3687e+00, -1.2431e+02, -3.0647e+01, -5.5608e+01
6.06422981e-01, -3.4060e+01, 1.7886e+02, -3.2062e+00, -1.2441e+02, -3.0854e+01, -5.6730e+01
6.20240891e-01, -3.3920e+01, -1.7975e+02, -3.0473e+00, -1.2451e+02, -3.0872e+01, -5.5239e+01
6.34373654e-01, -3.3958e+01, 1.7989e+02, -2.8815e+00, -1.2459e+02, -3.1076e+01, -5.5513e+01
