% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:19:53 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
4.25265157e+00, -3.3841e+01, 1.8010e+02, -6.3550e+01, -9.9775e+01, 2.9709e+01, -8.0122e+01
4.39488516e+00, -3.3996e+01, 1.7982e+02, -6.3906e+01, -1.1287e+02, 2.9911e+01, -6.7311e+01
4.54187589e+00, -3.3781e+01, 1.8021e+02, -6.2502e+01, -1.3774e+02, 2.8720e+01, -4.2047e+01
4.69378284e+00, -3.3953e+01, 1.8000e+02, -6.2546e+01, -1.1841e+02, 2.8592e+01, -6.1586e+01
4.85077046e+00, -3.3919e+01, 1.8050e+02, -6.5353e+01, -1.3085e+02, 3.1434e+01, -4.8649e+01
5.01300866e+00, -3.3868e+01, 1.7980e+02, -6.2795e+01, -1.1023e+02, 2.8927e+01, -6.9965e+01
5.18067305e+00, -3.3829e+01, 1.7925e+02, -6.1103e+01, -1.1680e+02, 2.7273e+01, -6.3953e+01
5.35394513e+00, -3.3849e+01, 1.7902e+02, -6.2015e+01, -1.0956e+02, 2.8166e+01, -7.1419e+01
5.53301244e+00, -3.3877e+01, 1.8066e+02, -6.1624e+01, -1.1860e+02, 2.7747e+01, -6.0736e+01
5.71806881e+00, -3.3873e+01, 1.7950e+02, -6.1208e+01, -1.0976e+02, 2.7334e+01, -7.0738e+01
5.90931455e+00, -3.3945e+01, 1.8023e+02, -6.1857e+01, -1.2542e+02, 2.7912e+01, -5.4345e+01
6.10695667e+00, -3.4018e+01, 1.7963e+02, -6.3060e+01, -1.1295e+02, 2.9042e+01, -6.7422e+01
6.31120910e+00, -3.3918e+01, 1.7974e+02, -6.0672e+01, -1.1050e+02, 2.6754e+01, -6.9754e+01
6.52229293e+00, -3.3757e+01, 1.7980e+02, -5.9323e+01, -1.1549e+02, 2.5566e+01, -6.4711e+01
6.74043664e+00, -3.3915e+01, 1.7966e+02, -5.9437e+01, -1.2069e+02, 2.5522e+01, -5.9650e+01
6.96587636e+00, -3.3784e+01, 1.7992e+02, -6.1438e+01, -1.2866e+02, 2.7654e+01, -5.1417e+01
7.19885610e+00, -3.3907e+01, 1.8026e+02, -5.8664e+01, -1.2302e+02, 2.4757e+01, -5.6724e+01
7.43962804e+00, -3.3894e+01, 1.8006e+02, -5.9173e+01, -1.2438e+02, 2.5279e+01, -5.5551e+01
7.68845282e+00, -3.3980e+01, 1.8053e+02, -6.0195e+01, -1.1625e+02, 2.6216e+01, -6.3223e+01
7.94559975e+00, -3.3918e+01, 1.8005e+02, -5.7323e+01, -1.2149e+02, 2.3405e+01, -5.8464e+01
8.21134718e+00, -3.3838e+01, 1.7995e+02, -5.9143e+01, -1.2740e+02, 2.5305e+01, -5.2650e+01
8.48598277e+00, -3.3816e+01, 1.8019e+02, -5.8376e+01, -1.1058e+02, 2.4560e+01, -6.9225e+01
8.76980378e+00, -3.3807e+01, 1.8040e+02, -5.9405e+01, -1.2007e+02, 2.5598e+01, -5.9530e+01
9.06311743e+00, -3.3930e+01, 1.8019e+02, -5.8254e+01, -1.1483e+02, 2.4324e+01, -6.4977e+01
9.36624120e+00, -3.3863e+01, 1.7950e+02, -5.8757e+01, -1.2541e+02, 2.4894e+01, -5.5083e+01
9.67950322e+00, -3.3908e+01, 1.8013e+02, -6.0544e+01, -1.1658e+02, 2.6636e+01, -6.3291e+01
1.00032425e+01, -3.3852e+01, 1.8049e+02, -5.9819e+01, -1.0699e+02, 2.5967e+01, -7.2528e+01
1.03378096e+01, -3.3770e+01, 1.7998e+02, -5.9090e+01, -1.1916e+02, 2.5319e+01, -6.0865e+01
1.06835666e+01, -3.3793e+01, 1.7906e+02, -5.8173e+01, -1.1316e+02, 2.4380e+01, -6.7781e+01
1.10408877e+01, -3.3883e+01, 1.8028e+02, -5.7090e+01, -1.0695e+02, 2.3207e+01, -7.2767e+01
1.14101597e+01, -3.3837e+01, 1.7982e+02, -5.6382e+01, -1.3379e+02, 2.2546e+01, -4.6394e+01
1.17917823e+01, -3.3908e+01, 1.7972e+02, -5.7876e+01, -1.1817e+02, 2.3968e+01, -6.2108e+01
1.21861686e+01, -3.3913e+01, 1.8018e+02, -5.5261e+01, -1.1768e+02, 2.1348e+01, -6.2136e+01
1.25937455e+01, -3.3959e+01, 1.8002e+02, -5.6281e+01, -1.2139e+02, 2.2321e+01, -5.8589e+01
1.30149542e+01, -3.3904e+01, 1.7972e+02, -5.6471e+01, -1.1892e+02, 2.2567e+01, -6.1361e+01
1.34502506e+01, -3.3905e+01, 1.8041e+02, -5.5767e+01, -1.1511e+02, 2.1862e+01, -6.4481e+01
1.39001058e+01, -3.3915e+01, 1.7971e+02, -5.5855e+01, -1.2098e+02, 2.1940e+01, -5.9315e+01
1.43650068e+01, -3.3926e+01, 1.7972e+02, -5.6295e+01, -1.2401e+02, 2.2369e+01, -5.6277e+01
1.48454569e+01, -3.3914e+01, 1.7985e+02, -5.5543e+01, -1.1103e+02, 2.1629e+01, -6.9119e+01
1.53419760e+01, -3.3859e+01, 1.7987e+02, -5.4433e+01, -1.1481e+02, 2.0575e+01, -6.5327e+01
1.58551016e+01, -3.3832e+01, 1.7964e+02, -5.5067e+01, -1.0454e+02, 2.1235e+01, -7.5818e+01
1.63853891e+01, -3.3863e+01, 1.8058e+02, -5.5737e+01, -1.1614e+02, 2.1873e+01, -6.3282e+01
1.69334126e+01, -3.3874e+01, 1.8040e+02, -5.4467e+01, -1.1492e+02, 2.0593e+01, -6.4675e+01
1.74997652e+01, -3.3834e+01, 1.7986e+02, -5.4433e+01, -1.2454e+02, 2.0599e+01, -5.5602e+01
1.80850599e+01, -3.3815e+01, 1.7976e+02, -5.3869e+01, -1.1673e+02, 2.0054e+01, -6.3515e+01
1.86899303e+01, -3.3983e+01, 1.7957e+02, -5.4300e+01, -1.0852e+02, 2.0317e+01, -7.1913e+01
1.93150312e+01, -3.3877e+01, 1.8021e+02, -5.4189e+01, -1.1215e+02, 2.0312e+01, -6.7638e+01
1.99610390e+01, -3.3840e+01, 1.7973e+02, -5.3081e+01, -1.1563e+02, 1.9240e+01, -6.4633e+01
2.06286532e+01, -3.3917e+01, 1.7973e+02, -5.3874e+01, -1.1960e+02, 1.9957e+01, -6.0671e+01
2.13185963e+01, -3.3870e+01, 1.7980e+02, -5.3138e+01, -1.1582e+02, 1.9268e+01, -6.4377e+01
2.20316151e+01, -3.3994e+01, 1.8008e+02, -5.3406e+01, -1.1018e+02, 1.9412e+01, -6.9735e+01
2.27684815e+01, -3.3966e+01, 1.8017e+02, -5.2918e+01, -1.1368e+02, 1.8952e+01, -6.6147e+01
2.35299930e+01, -3.3888e+01, 1.7997e+02, -5.2327e+01, -1.1025e+02, 1.8439e+01, -6.9783e+01
2.43169739e+01, -3.3819e+01, 1.8002e+02, -5.1087e+01, -1.1272e+02, 1.7269e+01, -6.7264e+01
2.51302760e+01, -3.3837e+01, 1.7995e+02, -5.1948e+01, -1.1763e+02, 1.8110e+01, -6.2419e+01
2.59707798e+01, -3.3965e+01, 1.8007e+02, -5.2592e+01, -1.1522e+02, 1.8627e+01, -6.4716e+01
2.68393949e+01, -3.3949e+01, 1.7982e+02, -5.1911e+01, -1.1060e+02, 1.7962e+01, -6.9578e+01
2.77370616e+01, -3.3869e+01, 1.7973e+02, -5.1982e+01, -1.1208e+02, 1.8113e+01, -6.8195e+01
2.86647515e+01, -3.3895e+01, 1.7993e+02, -5.1666e+01, -1.1828e+02, 1.7771e+01, -6.1785e+01
2.96234689e+01, -3.3808e+01, 1.8032e+02, -5.1496e+01, -1.1769e+02, 1.7689e+01, -6.1988e+01
3.06142513e+01, -3.3891e+01, 1.8002e+02, -5.0552e+01, -1.1309e+02, 1.6661e+01, -6.6893e+01
3.16381713e+01, -3.3933e+01, 1.7993e+02, -5.0171e+01, -1.0874e+02, 1.6238e+01, -7.1332e+01
3.26963373e+01, -3.3878e+01, 1.7962e+02, -5.0925e+01, -1.1577e+02, 1.7048e+01, -6.4608e+01
3.37898944e+01, -3.3889e+01, 1.7998e+02, -5.0796e+01, -1.1623e+02, 1.6907e+01, -6.3799e+01
3.49200266e+01, -3.3953e+01, 1.8006e+02, -5.1101e+01, -1.1466e+02, 1.7148e+01, -6.5278e+01
3.60879570e+01, -3.3827e+01, 1.8000e+02, -4.9648e+01, -1.1331e+02, 1.5821e+01, -6.6691e+01
3.72949498e+01, -3.3879e+01, 1.8013e+02, -5.0451e+01, -1.1779e+02, 1.6572e+01, -6.2080e+01
