% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 5.000000 Hz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:35:59 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
9.62071594e+00, -3.3852e+01, 1.7984e+02, -6.0223e+01, -1.2551e+02, 2.6371e+01, -5.4648e+01
9.76488951e+00, -3.3936e+01, 1.8017e+02, -6.0932e+01, -1.1349e+02, 2.6996e+01, -6.6336e+01
9.91122363e+00, -3.3886e+01, 1.7974e+02, -6.1823e+01, -1.0272e+02, 2.7937e+01, -7.7537e+01
1.00597507e+01, -3.3936e+01, 1.7988e+02, -6.0486e+01, -1.1161e+02, 2.6550e+01, -6.8515e+01
1.02105035e+01, -3.3944e+01, 1.7973e+02, -6.0894e+01, -1.0483e+02, 2.6951e+01, -7.5436e+01
1.03635155e+01, -3.3830e+01, 1.7976e+02, -5.9358e+01, -1.1928e+02, 2.5528e+01, -6.0961e+01
1.05188204e+01, -3.3834e+01, 1.7988e+02, -6.1398e+01, -1.0571e+02, 2.7564e+01, -7.4410e+01
1.06764528e+01, -3.3884e+01, 1.8010e+02, -6.0202e+01, -9.9016e+01, 2.6317e+01, -8.0882e+01
1.08364473e+01, -3.3886e+01, 1.7972e+02, -5.9583e+01, -1.1775e+02, 2.5697e+01, -6.2529e+01
1.09988395e+01, -3.3881e+01, 1.7962e+02, -6.0466e+01, -1.2035e+02, 2.6585e+01, -6.0026e+01
1.11636653e+01, -3.3909e+01, 1.8014e+02, -6.0789e+01, -1.1756e+02, 2.6880e+01, -6.2302e+01
1.13309611e+01, -3.3757e+01, 1.7942e+02, -6.0090e+01, -1.1290e+02, 2.6333e+01, -6.7681e+01
1.15007640e+01, -3.4015e+01, 1.7978e+02, -6.1474e+01, -1.0501e+02, 2.7459e+01, -7.5207e+01
1.16731115e+01, -3.3972e+01, 1.7971e+02, -5.8315e+01, -1.1638e+02, 2.4343e+01, -6.3916e+01
1.18480417e+01, -3.3882e+01, 1.8097e+02, -5.9290e+01, -1.1597e+02, 2.5408e+01, -6.3059e+01
1.20255934e+01, -3.4006e+01, 1.8054e+02, -6.0306e+01, -1.2625e+02, 2.6300e+01, -5.3207e+01
1.22058058e+01, -3.3845e+01, 1.8019e+02, -5.7934e+01, -1.1203e+02, 2.4089e+01, -6.7778e+01
1.23887189e+01, -3.3810e+01, 1.7983e+02, -5.7701e+01, -1.0404e+02, 2.3891e+01, -7.6129e+01
1.25743730e+01, -3.3999e+01, 1.8008e+02, -5.9205e+01, -1.0863e+02, 2.5206e+01, -7.1292e+01
1.27628093e+01, -3.3885e+01, 1.8049e+02, -5.8245e+01, -1.0790e+02, 2.4360e+01, -7.1604e+01
1.29540695e+01, -3.3897e+01, 1.8011e+02, -5.9046e+01, -1.0597e+02, 2.5149e+01, -7.3925e+01
1.31481959e+01, -3.3871e+01, 1.8010e+02, -5.8303e+01, -1.1541e+02, 2.4432e+01, -6.4491e+01
1.33452313e+01, -3.3914e+01, 1.8020e+02, -6.1021e+01, -1.0719e+02, 2.7107e+01, -7.2610e+01
1.35452195e+01, -3.3801e+01, 1.8017e+02, -5.8846e+01, -1.0255e+02, 2.5045e+01, -7.7280e+01
