% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:27:37 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.81266155e+00, -3.4233e+01, 1.7998e+02, -6.8076e+01, -1.2989e+02, 3.3842e+01, -5.0135e+01
1.83733169e+00, -3.4282e+01, 1.8011e+02, -7.1015e+01, -7.5527e+01, 3.6733e+01, -1.0436e+02
1.86233758e+00, -3.4231e+01, 1.8016e+02, -6.6796e+01, -1.1883e+02, 3.2565e+01, -6.1018e+01
1.88768380e+00, -3.4211e+01, 1.7995e+02, -6.7844e+01, -1.4049e+02, 3.3633e+01, -3.9563e+01
1.91337499e+00, -3.4227e+01, 1.8032e+02, -7.1037e+01, -1.2714e+02, 3.6810e+01, -5.2533e+01
1.93941582e+00, -3.4302e+01, 1.7975e+02, -6.8552e+01, -1.4806e+02, 3.4250e+01, -3.2190e+01
1.96581107e+00, -3.4164e+01, 1.8035e+02, -6.6301e+01, -1.3705e+02, 3.2137e+01, -4.2599e+01
1.99256556e+00, -3.4274e+01, 1.7954e+02, -8.1742e+01, -1.3089e+02, 4.7468e+01, -4.9570e+01
2.01968417e+00, -3.4233e+01, 1.8028e+02, -6.4894e+01, -1.4494e+02, 3.0662e+01, -3.4773e+01
2.04717187e+00, -3.4278e+01, 1.8052e+02, -6.7377e+01, -1.4510e+02, 3.3099e+01, -3.4375e+01
2.07503367e+00, -3.4216e+01, 1.8045e+02, -7.0334e+01, -1.1500e+02, 3.6118e+01, -6.4550e+01
2.10327466e+00, -3.4292e+01, 1.8049e+02, -6.3722e+01, -1.3275e+02, 2.9430e+01, -4.6758e+01
2.13190002e+00, -3.4225e+01, 1.7965e+02, -6.3090e+01, -1.1911e+02, 2.8865e+01, -6.1235e+01
2.16091496e+00, -3.4225e+01, 1.8020e+02, -6.8548e+01, -1.2501e+02, 3.4323e+01, -5.4783e+01
2.19032479e+00, -3.4235e+01, 1.7983e+02, -6.7642e+01, -1.4566e+02, 3.3406e+01, -3.4516e+01
2.22013488e+00, -3.4325e+01, 1.7979e+02, -6.8065e+01, -1.2647e+02, 3.3740e+01, -5.3744e+01
2.25035069e+00, -3.4357e+01, 1.7962e+02, -6.6618e+01, -9.3821e+01, 3.2261e+01, -8.6563e+01
2.28097773e+00, -3.4241e+01, 1.7913e+02, -6.7675e+01, -7.9896e+01, 3.3434e+01, -1.0097e+02
2.31202160e+00, -3.4407e+01, 1.7981e+02, -6.4454e+01, -1.1349e+02, 3.0047e+01, -6.6695e+01
2.34348798e+00, -3.4230e+01, 1.7984e+02, -6.6514e+01, -1.0454e+02, 3.2285e+01, -7.5618e+01
2.37538261e+00, -3.4248e+01, 1.7994e+02, -6.5715e+01, -1.3685e+02, 3.1467e+01, -4.3213e+01
2.40771133e+00, -3.4275e+01, 1.7991e+02, -6.7269e+01, -1.2488e+02, 3.2995e+01, -5.5212e+01
2.44048003e+00, -3.4153e+01, 1.7958e+02, -6.5061e+01, -1.0860e+02, 3.0907e+01, -7.1823e+01
2.47369471e+00, -3.4109e+01, 1.7986e+02, -6.6916e+01, -1.5499e+02, 3.2806e+01, -2.5148e+01
2.50736144e+00, -3.4259e+01, 1.7961e+02, -6.6205e+01, -1.2076e+02, 3.1946e+01, -5.9629e+01
2.54148637e+00, -3.4278e+01, 1.8044e+02, -6.4930e+01, -1.1402e+02, 3.0652e+01, -6.5541e+01
2.57607574e+00, -3.4366e+01, 1.8011e+02, -6.6822e+01, -1.1870e+02, 3.2457e+01, -6.1190e+01
2.61113587e+00, -3.4222e+01, 1.7951e+02, -6.6351e+01, -1.2237e+02, 3.2129e+01, -5.8118e+01
2.64667316e+00, -3.4312e+01, 1.7996e+02, -6.5988e+01, -1.1030e+02, 3.1676e+01, -6.9742e+01
2.68269411e+00, -3.4311e+01, 1.7990e+02, -6.4362e+01, -1.3011e+02, 3.0051e+01, -4.9987e+01
2.71920530e+00, -3.4287e+01, 1.7960e+02, -6.7146e+01, -1.2325e+02, 3.2859e+01, -5.7155e+01
2.75621341e+00, -3.4246e+01, 1.8039e+02, -6.4625e+01, -1.4066e+02, 3.0378e+01, -3.8951e+01
2.79372519e+00, -3.4271e+01, 1.8048e+02, -6.1935e+01, -1.2982e+02, 2.7664e+01, -4.9700e+01
2.83174750e+00, -3.4195e+01, 1.7968e+02, -6.5042e+01, -1.1326e+02, 3.0847e+01, -6.7061e+01
2.87028729e+00, -3.4212e+01, 1.7975e+02, -6.2618e+01, -1.1528e+02, 2.8406e+01, -6.4970e+01
2.90935161e+00, -3.4156e+01, 1.7957e+02, -6.5649e+01, -1.1689e+02, 3.1494e+01, -6.3543e+01
2.94894759e+00, -3.4239e+01, 1.7996e+02, -6.6736e+01, -1.1860e+02, 3.2496e+01, -6.1441e+01
2.98908246e+00, -3.4190e+01, 1.8052e+02, -6.4818e+01, -1.1570e+02, 3.0628e+01, -6.3782e+01
3.02976357e+00, -3.4239e+01, 1.8003e+02, -6.4419e+01, -9.8573e+01, 3.0180e+01, -8.1395e+01
3.07099834e+00, -3.4332e+01, 1.8003e+02, -6.3704e+01, -1.2683e+02, 2.9372e+01, -5.3147e+01
3.11279431e+00, -3.4355e+01, 1.8010e+02, -6.3654e+01, -1.2826e+02, 2.9299e+01, -5.1645e+01
3.15515912e+00, -3.4260e+01, 1.8042e+02, -6.6001e+01, -1.0644e+02, 3.1741e+01, -7.3138e+01
3.19810051e+00, -3.4204e+01, 1.7985e+02, -6.7274e+01, -1.0408e+02, 3.3070e+01, -7.6074e+01
3.24162633e+00, -3.4262e+01, 1.8022e+02, -6.3639e+01, -1.1339e+02, 2.9378e+01, -6.6392e+01
3.28574453e+00, -3.4199e+01, 1.8015e+02, -6.7418e+01, -1.2033e+02, 3.3219e+01, -5.9521e+01
3.33046318e+00, -3.4187e+01, 1.7968e+02, -6.0519e+01, -1.1558e+02, 2.6332e+01, -6.4733e+01
3.37579044e+00, -3.4296e+01, 1.8020e+02, -6.3938e+01, -1.1797e+02, 2.9641e+01, -6.1821e+01
3.42173460e+00, -3.4257e+01, 1.8037e+02, -6.6376e+01, -1.2319e+02, 3.2119e+01, -5.6438e+01
3.46830406e+00, -3.4294e+01, 1.8000e+02, -6.5696e+01, -1.1666e+02, 3.1402e+01, -6.3340e+01
3.51550732e+00, -3.4290e+01, 1.8011e+02, -6.2247e+01, -1.0300e+02, 2.7957e+01, -7.6897e+01
3.56335302e+00, -3.4288e+01, 1.8000e+02, -6.3996e+01, -1.1169e+02, 2.9708e+01, -6.8313e+01
3.61184988e+00, -3.4251e+01, 1.7959e+02, -6.1405e+01, -1.1697e+02, 2.7154e+01, -6.3443e+01
3.66100679e+00, -3.4228e+01, 1.8015e+02, -6.2004e+01, -1.1475e+02, 2.7776e+01, -6.5096e+01
3.71083272e+00, -3.4304e+01, 1.7982e+02, -6.4027e+01, -1.0530e+02, 2.9722e+01, -7.4883e+01
3.76133677e+00, -3.4170e+01, 1.7982e+02, -6.4631e+01, -1.1444e+02, 3.0461e+01, -6.5741e+01
3.81252818e+00, -3.4200e+01, 1.7936e+02, -6.2050e+01, -1.2218e+02, 2.7850e+01, -5.8454e+01
3.86441629e+00, -3.4234e+01, 1.7998e+02, -6.4207e+01, -1.2140e+02, 2.9973e+01, -5.8615e+01
3.91701060e+00, -3.4289e+01, 1.7962e+02, -6.2592e+01, -9.5773e+01, 2.8303e+01, -8.4605e+01
3.97032071e+00, -3.4283e+01, 1.7999e+02, -6.1178e+01, -1.3223e+02, 2.6896e+01, -4.7784e+01
4.02435637e+00, -3.4253e+01, 1.7957e+02, -6.1859e+01, -1.0653e+02, 2.7607e+01, -7.3901e+01
4.07912745e+00, -3.4314e+01, 1.8015e+02, -6.1150e+01, -1.0108e+02, 2.6836e+01, -7.8770e+01
4.13464396e+00, -3.4279e+01, 1.7967e+02, -6.3243e+01, -1.0341e+02, 2.8964e+01, -7.6916e+01
4.19091604e+00, -3.4341e+01, 1.7997e+02, -6.1697e+01, -1.2349e+02, 2.7356e+01, -5.6535e+01
4.24795397e+00, -3.4297e+01, 1.8016e+02, -6.1716e+01, -1.0533e+02, 2.7419e+01, -7.4511e+01
4.30576819e+00, -3.4274e+01, 1.7945e+02, -6.2923e+01, -1.2593e+02, 2.8649e+01, -5.4620e+01
4.36436925e+00, -3.4262e+01, 1.8064e+02, -6.3071e+01, -1.2422e+02, 2.8809e+01, -5.5135e+01
4.42376787e+00, -3.4292e+01, 1.7965e+02, -5.9337e+01, -1.2589e+02, 2.5046e+01, -5.4457e+01
4.48397490e+00, -3.4211e+01, 1.7999e+02, -6.1445e+01, -1.1388e+02, 2.7234e+01, -6.6132e+01
4.54500133e+00, -3.4143e+01, 1.8005e+02, -6.0582e+01, -1.1355e+02, 2.6438e+01, -6.6396e+01
4.60685834e+00, -3.4227e+01, 1.8021e+02, -6.0390e+01, -1.2323e+02, 2.6162e+01, -5.6566e+01
4.66955721e+00, -3.4187e+01, 1.7902e+02, -6.3756e+01, -1.1544e+02, 2.9569e+01, -6.5541e+01
4.73310940e+00, -3.4353e+01, 1.7948e+02, -6.3433e+01, -1.1731e+02, 2.9080e+01, -6.3202e+01
4.79752653e+00, -3.4211e+01, 1.7981e+02, -6.2532e+01, -1.0960e+02, 2.8321e+01, -7.0582e+01
4.86282038e+00, -3.4323e+01, 1.7977e+02, -6.0499e+01, -1.1575e+02, 2.6176e+01, -6.4488e+01
4.92900286e+00, -3.4167e+01, 1.8013e+02, -6.0345e+01, -1.2069e+02, 2.6177e+01, -5.9174e+01
4.99608609e+00, -3.4301e+01, 1.8015e+02, -6.2679e+01, -1.0021e+02, 2.8378e+01, -7.9643e+01
5.06408230e+00, -3.4271e+01, 1.8020e+02, -6.1615e+01, -1.0351e+02, 2.7344e+01, -7.6294e+01
5.13300394e+00, -3.4267e+01, 1.7968e+02, -6.2509e+01, -1.1614e+02, 2.8243e+01, -6.4181e+01
5.20286360e+00, -3.4062e+01, 1.8002e+02, -6.0889e+01, -1.1293e+02, 2.6826e+01, -6.7051e+01
5.27367404e+00, -3.4219e+01, 1.7998e+02, -6.0122e+01, -9.7806e+01, 2.5903e+01, -8.2210e+01
5.34544820e+00, -3.4181e+01, 1.7988e+02, -6.0537e+01, -1.1829e+02, 2.6356e+01, -6.1833e+01
5.41819920e+00, -3.4261e+01, 1.8020e+02, -6.0113e+01, -1.0666e+02, 2.5852e+01, -7.3142e+01
5.49194034e+00, -3.4287e+01, 1.8014e+02, -6.1333e+01, -1.2189e+02, 2.7046e+01, -5.7968e+01
5.56668508e+00, -3.4297e+01, 1.8003e+02, -6.0609e+01, -1.0982e+02, 2.6312e+01, -7.0144e+01
5.64244710e+00, -3.4249e+01, 1.7965e+02, -6.1839e+01, -1.0201e+02, 2.7590e+01, -7.8337e+01
5.71924022e+00, -3.4340e+01, 1.8013e+02, -6.1071e+01, -1.1182e+02, 2.6731e+01, -6.8045e+01
5.79707849e+00, -3.4247e+01, 1.7959e+02, -5.8993e+01, -9.7279e+01, 2.4745e+01, -8.3133e+01
5.87597614e+00, -3.4272e+01, 1.7980e+02, -6.0106e+01, -1.2471e+02, 2.5835e+01, -5.5497e+01
5.95594757e+00, -3.4381e+01, 1.7982e+02, -5.9902e+01, -1.0917e+02, 2.5522e+01, -7.1003e+01
6.03700740e+00, -3.4101e+01, 1.8014e+02, -6.0813e+01, -1.1061e+02, 2.6712e+01, -6.9250e+01
6.11917046e+00, -3.4195e+01, 1.8007e+02, -5.9370e+01, -1.1716e+02, 2.5176e+01, -6.2774e+01
6.20245174e+00, -3.4352e+01, 1.8004e+02, -6.1652e+01, -1.1122e+02, 2.7299e+01, -6.8745e+01
6.28686647e+00, -3.4087e+01, 1.8056e+02, -6.0211e+01, -1.0342e+02, 2.6124e+01, -7.6016e+01
6.37243008e+00, -3.4270e+01, 1.7999e+02, -6.0834e+01, -1.0415e+02, 2.6564e+01, -7.5864e+01
6.45915820e+00, -3.4255e+01, 1.8069e+02, -5.8620e+01, -1.0551e+02, 2.4365e+01, -7.3805e+01
6.54706668e+00, -3.4250e+01, 1.8011e+02, -5.9043e+01, -1.1523e+02, 2.4793e+01, -6.4662e+01
6.63617158e+00, -3.4241e+01, 1.8008e+02, -5.9953e+01, -1.0893e+02, 2.5712e+01, -7.0987e+01
6.72648919e+00, -3.4273e+01, 1.8031e+02, -6.0063e+01, -1.0320e+02, 2.5790e+01, -7.6486e+01
6.81803602e+00, -3.4352e+01, 1.8004e+02, -5.9220e+01, -1.0836e+02, 2.4869e+01, -7.1600e+01
6.91082879e+00, -3.4264e+01, 1.7998e+02, -6.0392e+01, -1.2170e+02, 2.6128e+01, -5.8317e+01
7.00488446e+00, -3.4164e+01, 1.7974e+02, -5.7856e+01, -1.1072e+02, 2.3692e+01, -6.9532e+01
7.10022022e+00, -3.4194e+01, 1.7973e+02, -5.8356e+01, -1.0744e+02, 2.4162e+01, -7.2827e+01
7.19685349e+00, -3.4234e+01, 1.8039e+02, -5.9099e+01, -1.0692e+02, 2.4865e+01, -7.2690e+01
7.29480193e+00, -3.4243e+01, 1.7962e+02, -5.9445e+01, -1.0794e+02, 2.5202e+01, -7.2440e+01
7.39408343e+00, -3.4239e+01, 1.8009e+02, -5.8289e+01, -1.0877e+02, 2.4050e+01, -7.1138e+01
7.49471615e+00, -3.4217e+01, 1.7964e+02, -5.8456e+01, -1.0433e+02, 2.4239e+01, -7.6029e+01
7.59671847e+00, -3.4174e+01, 1.8011e+02, -5.8575e+01, -1.0471e+02, 2.4400e+01, -7.5180e+01
7.70010902e+00, -3.4212e+01, 1.7995e+02, -5.8258e+01, -1.0609e+02, 2.4046e+01, -7.3959e+01
7.80490672e+00, -3.4222e+01, 1.7973e+02, -5.8264e+01, -1.0572e+02, 2.4042e+01, -7.4548e+01
