% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 17:29:57 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
3.28548006e-02, -3.4259e+01, 1.8030e+02, -7.4202e+01, 2.1969e+02, 3.9943e+01, -3.9939e+02
3.37551930e-02, -3.4220e+01, 1.8038e+02, -8.2030e+01, 3.9914e+02, 4.7810e+01, -5.7877e+02
3.46802607e-02, -3.4267e+01, 1.8010e+02, -7.6029e+01, 2.3741e+02, 4.1763e+01, -4.1731e+02
3.56306801e-02, -3.4261e+01, 1.7950e+02, -7.5850e+01, 2.9876e+02, 4.1588e+01, -4.7926e+02
3.66071459e-02, -3.4298e+01, 1.8009e+02, -7.6019e+01, 2.3011e+02, 4.1722e+01, -4.1002e+02
3.76103720e-02, -3.4198e+01, 1.7967e+02, -8.8149e+01, 5.8088e+01, 5.3951e+01, -2.3842e+02
3.86410917e-02, -3.4368e+01, 1.8069e+02, -6.9395e+01, 1.8516e+02, 3.5028e+01, -3.6447e+02
3.97000584e-02, -3.4150e+01, 1.8012e+02, -7.5800e+01, 1.9105e+02, 4.1651e+01, -3.7093e+02
4.07880464e-02, -3.4274e+01, 1.7998e+02, -7.1191e+01, 2.6015e+02, 3.6917e+01, -4.4017e+02
4.19058509e-02, -3.4438e+01, 1.8001e+02, -7.0464e+01, 1.7944e+02, 3.6026e+01, -3.5943e+02
4.30542890e-02, -3.4244e+01, 1.8032e+02, -6.9740e+01, 1.6894e+02, 3.5496e+01, -3.4862e+02
4.42342003e-02, -3.4310e+01, 1.8040e+02, -7.3174e+01, 2.3752e+02, 3.8864e+01, -4.1712e+02
4.54464473e-02, -3.4273e+01, 1.7965e+02, -7.7777e+01, 1.5268e+02, 4.3504e+01, -3.3303e+02
4.66919162e-02, -3.4249e+01, 1.8003e+02, -7.3577e+01, 3.3081e+02, 3.9328e+01, -5.1078e+02
4.79715174e-02, -3.4200e+01, 1.7978e+02, -7.1848e+01, 2.0957e+02, 3.7649e+01, -3.8979e+02
4.92861863e-02, -3.4192e+01, 1.7984e+02, -7.5761e+01, 1.6880e+02, 4.1568e+01, -3.4896e+02
5.06368840e-02, -3.4321e+01, 1.7990e+02, -7.0201e+01, 2.7117e+02, 3.5880e+01, -4.5127e+02
5.20245978e-02, -3.4245e+01, 1.8025e+02, -7.5091e+01, 2.7571e+02, 4.0846e+01, -4.5545e+02
5.34503422e-02, -3.4201e+01, 1.7972e+02, -7.0119e+01, 1.9120e+02, 3.5918e+01, -3.7148e+02
5.49151594e-02, -3.4281e+01, 1.7969e+02, -8.0226e+01, 1.8408e+02, 4.5945e+01, -3.6439e+02
5.64201202e-02, -3.4362e+01, 1.7995e+02, -7.6067e+01, 1.7778e+02, 4.1705e+01, -3.5783e+02
5.79663247e-02, -3.4215e+01, 1.7950e+02, -7.6304e+01, 2.0963e+02, 4.2088e+01, -3.9013e+02
5.95549033e-02, -3.4232e+01, 1.8015e+02, -7.1925e+01, 1.9044e+02, 3.7693e+01, -3.7029e+02
6.11870172e-02, -3.4121e+01, 1.7953e+02, -7.4202e+01, 2.3026e+02, 4.0081e+01, -4.1072e+02
6.28638595e-02, -3.4258e+01, 1.7949e+02, -7.7062e+01, 2.4516e+02, 4.2804e+01, -4.2567e+02
6.45866560e-02, -3.4293e+01, 1.7964e+02, -7.1838e+01, 1.7522e+02, 3.7545e+01, -3.5558e+02
6.63566661e-02, -3.4272e+01, 1.8031e+02, -6.9476e+01, 2.6843e+02, 3.5204e+01, -4.4812e+02
6.81751837e-02, -3.4204e+01, 1.8024e+02, -7.6008e+01, 2.1948e+02, 4.1804e+01, -3.9923e+02
7.00435380e-02, -3.4171e+01, 1.7972e+02, -7.3112e+01, 1.2132e+02, 3.8942e+01, -3.0161e+02
7.19630951e-02, -3.4309e+01, 1.7970e+02, -7.3457e+01, 2.3785e+02, 3.9148e+01, -4.1816e+02
7.39352579e-02, -3.4228e+01, 1.7978e+02, -7.8740e+01, 2.2818e+02, 4.4511e+01, -4.0840e+02
7.59614683e-02, -3.4118e+01, 1.8004e+02, -8.6975e+01, 2.6857e+02, 5.2857e+01, -4.4853e+02
7.80432073e-02, -3.4275e+01, 1.8045e+02, -8.8162e+01, 2.1776e+02, 5.3887e+01, -3.9731e+02
8.01819969e-02, -3.4289e+01, 1.8033e+02, -7.4010e+01, 3.1106e+02, 3.9721e+01, -4.9074e+02
8.23794003e-02, -3.4327e+01, 1.8016e+02, -6.8444e+01, 2.3844e+02, 3.4117e+01, -4.1828e+02
8.46370241e-02, -3.4228e+01, 1.7993e+02, -7.2208e+01, 2.4563e+02, 3.7980e+01, -4.2570e+02
8.69565185e-02, -3.4256e+01, 1.8004e+02, -6.9029e+01, 1.8573e+02, 3.4773e+01, -3.6569e+02
8.93395791e-02, -3.4169e+01, 1.7952e+02, -6.9128e+01, 2.5935e+02, 3.4958e+01, -4.3982e+02
9.17879479e-02, -3.4177e+01, 1.7986e+02, -7.5077e+01, 2.0912e+02, 4.0900e+01, -3.8926e+02
9.43034147e-02, -3.4166e+01, 1.7999e+02, -7.0695e+01, 2.5000e+02, 3.6529e+01, -4.3001e+02
9.68878185e-02, -3.4336e+01, 1.7986e+02, -6.8586e+01, 1.9609e+02, 3.4250e+01, -3.7623e+02
9.95430483e-02, -3.4212e+01, 1.7968e+02, -7.8115e+01, 2.2285e+02, 4.3903e+01, -4.0317e+02
1.02271045e-01, -3.4155e+01, 1.8045e+02, -7.4768e+01, 1.9370e+02, 4.0614e+01, -3.7325e+02
1.05073803e-01, -3.4236e+01, 1.7993e+02, -8.4910e+01, 1.5499e+01, 5.0673e+01, -1.9557e+02
1.07953372e-01, -3.4191e+01, 1.8033e+02, -7.5048e+01, -1.4485e+02, 4.0856e+01, -3.4815e+01
1.10911855e-01, -3.4282e+01, 1.8007e+02, -7.8197e+01, -1.3684e+02, 4.3915e+01, -4.3087e+01
1.13951417e-01, -3.4226e+01, 1.8058e+02, -7.4073e+01, -1.4022e+02, 3.9847e+01, -3.9202e+01
1.17074278e-01, -3.4323e+01, 1.8023e+02, -6.7050e+01, -6.5351e+01, 3.2726e+01, -1.1442e+02
1.20282721e-01, -3.4256e+01, 1.7949e+02, -9.2186e+01, -1.4862e+01, 5.7930e+01, -1.6565e+02
