% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
1.28178147e+00, -3.3965e+01, -1.8023e+02, 1.6075e+00, -1.3389e+02, 1.7074e+00, -1.3458e+02
1.31512383e+00, -3.4021e+01, -1.8007e+02, 1.7433e+00, -1.3449e+02, 1.8423e+00, -1.3515e+02
1.34933351e+00, -3.4085e+01, -1.8037e+02, 1.8738e+00, -1.3494e+02, 1.9709e+00, -1.3558e+02
1.38443307e+00, -3.3943e+01, -1.7967e+02, 2.0117e+00, -1.3551e+02, 2.1110e+00, -1.3614e+02
1.42044566e+00, -3.4025e+01, -1.8024e+02, 2.1409e+00, -1.3606e+02, 2.2377e+00, -1.3667e+02
1.45739502e+00, -3.4046e+01, -1.7976e+02, 2.2608e+00, -1.3652e+02, 2.3576e+00, -1.3711e+02
1.49530554e+00, -3.3901e+01, -1.7967e+02, 2.3848e+00, -1.3716e+02, 2.4829e+00, -1.3774e+02
1.53420220e+00, -3.4074e+01, -1.8026e+02, 2.4993e+00, -1.3768e+02, 2.5941e+00, -1.3825e+02
1.57411066e+00, -3.3979e+01, -1.8017e+02, 2.6142e+00, -1.3827e+02, 2.7098e+00, -1.3883e+02
1.61505724e+00, -3.4075e+01, -1.7945e+02, 2.7417e+00, -1.3885e+02, 2.8367e+00, -1.3939e+02
1.65706894e+00, -3.3966e+01, -1.7977e+02, 2.8585e+00, -1.3945e+02, 2.9538e+00, -1.3998e+02
1.70017347e+00, -3.4048e+01, -1.8012e+02, 2.9678e+00, -1.4004e+02, 3.0614e+00, -1.4055e+02
1.74439926e+00, -3.3951e+01, -1.8021e+02, 3.0784e+00, -1.4060e+02, 3.1725e+00, -1.4111e+02
1.78977548e+00, -3.3999e+01, -1.7982e+02, 3.1886e+00, -1.4116e+02, 3.2822e+00, -1.4165e+02
1.83633204e+00, -3.3903e+01, -1.8030e+02, 3.2913e+00, -1.4177e+02, 3.3849e+00, -1.4226e+02
1.88409966e+00, -3.4037e+01, -1.8051e+02, 3.3853e+00, -1.4238e+02, 3.4770e+00, -1.4285e+02
1.93310983e+00, -3.3944e+01, -1.8000e+02, 3.4878e+00, -1.4294e+02, 3.5808e+00, -1.4340e+02
1.98339489e+00, -3.3969e+01, -1.8029e+02, 3.5858e+00, -1.4356e+02, 3.6778e+00, -1.4401e+02
2.03498798e+00, -3.4025e+01, -1.8051e+02, 3.6752e+00, -1.4409e+02, 3.7661e+00, -1.4453e+02
2.08792314e+00, -3.3976e+01, -1.8009e+02, 3.7650e+00, -1.4480e+02, 3.8567e+00, -1.4522e+02
2.14223527e+00, -3.3877e+01, -1.8035e+02, 3.8613e+00, -1.4538e+02, 3.9534e+00, -1.4580e+02
2.19796020e+00, -3.3989e+01, -1.7942e+02, 3.9487e+00, -1.4592e+02, 4.0403e+00, -1.4632e+02
2.25513468e+00, -3.4007e+01, -1.7999e+02, 4.0270e+00, -1.4655e+02, 4.1176e+00, -1.4694e+02
2.31379641e+00, -3.4041e+01, -1.8021e+02, 4.1052e+00, -1.4711e+02, 4.1950e+00, -1.4750e+02
2.37398407e+00, -3.3973e+01, -1.8030e+02, 4.1810e+00, -1.4770e+02, 4.2712e+00, -1.4808e+02
2.43573737e+00, -3.3934e+01, -1.8000e+02, 4.2598e+00, -1.4830e+02, 4.3505e+00, -1.4867e+02
2.49909703e+00, -3.3879e+01, -1.8013e+02, 4.3350e+00, -1.4887e+02, 4.4259e+00, -1.4924e+02
2.56410484e+00, -3.3973e+01, -1.8034e+02, 4.4144e+00, -1.4950e+02, 4.5039e+00, -1.4985e+02
2.63080366e+00, -3.3997e+01, -1.8012e+02, 4.4766e+00, -1.5005e+02, 4.5659e+00, -1.5039e+02
2.69923748e+00, -3.4078e+01, -1.7991e+02, 4.5447e+00, -1.5058e+02, 4.6331e+00, -1.5091e+02
2.76945144e+00, -3.3974e+01, -1.7995e+02, 4.6046e+00, -1.5122e+02, 4.6940e+00, -1.5154e+02
2.84149184e+00, -3.4035e+01, -1.8028e+02, 4.6699e+00, -1.5179e+02, 4.7581e+00, -1.5210e+02
2.91540619e+00, -3.4075e+01, -1.8089e+02, 4.7359e+00, -1.5231e+02, 4.8230e+00, -1.5263e+02
2.99124325e+00, -3.4062e+01, -1.8059e+02, 4.7927e+00, -1.5286e+02, 4.8801e+00, -1.5316e+02
3.06905301e+00, -3.3970e+01, -1.8010e+02, 4.8564e+00, -1.5347e+02, 4.9449e+00, -1.5376e+02
3.14888680e+00, -3.3990e+01, -1.7978e+02, 4.8872e+00, -1.5402e+02, 4.9759e+00, -1.5430e+02
3.23079727e+00, -3.4000e+01, -1.8001e+02, 4.9449e+00, -1.5447e+02, 5.0331e+00, -1.5475e+02
3.31483844e+00, -3.4129e+01, -1.8041e+02, 4.9934e+00, -1.5502e+02, 5.0798e+00, -1.5529e+02
3.40106573e+00, -3.3973e+01, -1.8013e+02, 5.0415e+00, -1.5556e+02, 5.1296e+00, -1.5583e+02
3.48953601e+00, -3.4029e+01, -1.7978e+02, 5.0865e+00, -1.5608e+02, 5.1742e+00, -1.5633e+02
3.58030762e+00, -3.4133e+01, -1.7997e+02, 5.1279e+00, -1.5658e+02, 5.2144e+00, -1.5682e+02
3.67344043e+00, -3.4110e+01, -1.7977e+02, 5.1831e+00, -1.5705e+02, 5.2696e+00, -1.5729e+02
3.76899587e+00, -3.4008e+01, -1.8017e+02, 5.2041e+00, -1.5752e+02, 5.2915e+00, -1.5776e+02
3.86703693e+00, -3.4092e+01, -1.7984e+02, 5.2461e+00, -1.5805e+02, 5.3327e+00, -1.5828e+02
3.96762829e+00, -3.4025e+01, -1.8054e+02, 5.2897e+00, -1.5853e+02, 5.3765e+00, -1.5876e+02
4.07083629e+00, -3.3926e+01, -1.7971e+02, 5.3204e+00, -1.5899e+02, 5.4086e+00, -1.5921e+02
4.17672899e+00, -3.4075e+01, -1.8006e+02, 5.3622e+00, -1.5941e+02, 5.4485e+00, -1.5962e+02
4.28537622e+00, -3.4040e+01, -1.8023e+02, 5.3941e+00, -1.5996e+02, 5.4807e+00, -1.6017e+02
4.39684964e+00, -3.3950e+01, -1.7980e+02, 5.4270e+00, -1.6039e+02, 5.5146e+00, -1.6059e+02
4.51122276e+00, -3.3951e+01, -1.8038e+02, 5.4622e+00, -1.6082e+02, 5.5494e+00, -1.6103e+02
4.62857102e+00, -3.4017e+01, -1.8008e+02, 5.4868e+00, -1.6121e+02, 5.5734e+00, -1.6141e+02
4.74897180e+00, -3.3930e+01, -1.8043e+02, 5.5211e+00, -1.6166e+02, 5.6084e+00, -1.6185e+02
4.87250451e+00, -3.3907e+01, -1.8002e+02, 5.5472e+00, -1.6199e+02, 5.6348e+00, -1.6218e+02
4.99925061e+00, -3.3944e+01, -1.8013e+02, 5.5620e+00, -1.6253e+02, 5.6492e+00, -1.6272e+02
5.12929370e+00, -3.4011e+01, -1.7961e+02, 5.5985e+00, -1.6288e+02, 5.6851e+00, -1.6305e+02
5.26271954e+00, -3.4030e+01, -1.7996e+02, 5.6252e+00, -1.6326e+02, 5.7114e+00, -1.6344e+02
5.39961612e+00, -3.3897e+01, -1.8024e+02, 5.6361e+00, -1.6368e+02, 5.7236e+00, -1.6385e+02
5.54007372e+00, -3.4091e+01, -1.7962e+02, 5.6470e+00, -1.6405e+02, 5.7329e+00, -1.6421e+02
5.68418498e+00, -3.3996e+01, -1.8014e+02, 5.6806e+00, -1.6450e+02, 5.7671e+00, -1.6466e+02
5.83204494e+00, -3.3920e+01, -1.8012e+02, 5.7024e+00, -1.6487e+02, 5.7895e+00, -1.6503e+02
5.98375111e+00, -3.3878e+01, -1.8028e+02, 5.7131e+00, -1.6517e+02, 5.8006e+00, -1.6533e+02
6.13940353e+00, -3.3869e+01, -1.8010e+02, 5.7321e+00, -1.6547e+02, 5.8197e+00, -1.6563e+02
6.29910487e+00, -3.4106e+01, -1.8071e+02, 5.7374e+00, -1.6597e+02, 5.8226e+00, -1.6611e+02
6.46296044e+00, -3.4095e+01, -1.7990e+02, 5.7576e+00, -1.6617e+02, 5.8430e+00, -1.6631e+02
6.63107830e+00, -3.4058e+01, -1.8106e+02, 5.7837e+00, -1.6656e+02, 5.8689e+00, -1.6671e+02
6.80356934e+00, -3.3976e+01, -1.7989e+02, 5.7956e+00, -1.6685e+02, 5.8821e+00, -1.6699e+02
6.98054730e+00, -3.3988e+01, -1.8072e+02, 5.8159e+00, -1.6717e+02, 5.9018e+00, -1.6731e+02
7.16212890e+00, -3.4018e+01, -1.8046e+02, 5.8392e+00, -1.6745e+02, 5.9248e+00, -1.6759e+02
7.34843390e+00, -3.3841e+01, -1.7992e+02, 5.8398e+00, -1.6778e+02, 5.9275e+00, -1.6790e+02
7.53958515e+00, -3.3954e+01, -1.7990e+02, 5.8552e+00, -1.6804e+02, 5.9416e+00, -1.6816e+02
7.73570874e+00, -3.3961e+01, -1.8014e+02, 5.8616e+00, -1.6834e+02, 5.9480e+00, -1.6847e+02
7.93693399e+00, -3.4109e+01, -1.8031e+02, 5.8754e+00, -1.6865e+02, 5.9602e+00, -1.6876e+02
8.14339362e+00, -3.4036e+01, -1.8042e+02, 5.8878e+00, -1.6894e+02, 5.9733e+00, -1.6905e+02
8.35522378e+00, -3.4018e+01, -1.8043e+02, 5.9026e+00, -1.6919e+02, 5.9882e+00, -1.6931e+02
8.57256418e+00, -3.4010e+01, -1.8005e+02, 5.9049e+00, -1.6950e+02, 5.9907e+00, -1.6960e+02
8.79555814e+00, -3.4022e+01, -1.7941e+02, 5.9066e+00, -1.6969e+02, 5.9925e+00, -1.6979e+02
9.02435274e+00, -3.4008e+01, -1.7991e+02, 5.9339e+00, -1.6996e+02, 6.0196e+00, -1.7006e+02
9.25909887e+00, -3.3974e+01, -1.8034e+02, 5.9325e+00, -1.7020e+02, 6.0185e+00, -1.7031e+02
9.49995133e+00, -3.3950e+01, -1.7976e+02, 5.9417e+00, -1.7050e+02, 6.0281e+00, -1.7059e+02
9.74706897e+00, -3.3941e+01, -1.8003e+02, 5.9545e+00, -1.7074e+02, 6.0408e+00, -1.7084e+02
1.00006148e+01, -3.3902e+01, -1.7953e+02, 5.9595e+00, -1.7095e+02, 6.0463e+00, -1.7104e+02
1.02607559e+01, -3.3923e+01, -1.8016e+02, 5.9671e+00, -1.7115e+02, 6.0535e+00, -1.7124e+02
1.05276640e+01, -3.3950e+01, -1.8013e+02, 5.9757e+00, -1.7140e+02, 6.0618e+00, -1.7149e+02
1.08015150e+01, -3.4030e+01, -1.8015e+02, 5.9728e+00, -1.7152e+02, 6.0582e+00, -1.7161e+02
1.10824896e+01, -3.4037e+01, -1.7977e+02, 5.9883e+00, -1.7178e+02, 6.0736e+00, -1.7186e+02
1.13707731e+01, -3.4068e+01, -1.8056e+02, 5.9948e+00, -1.7195e+02, 6.0796e+00, -1.7204e+02
1.16665555e+01, -3.4060e+01, -1.8006e+02, 6.0036e+00, -1.7223e+02, 6.0887e+00, -1.7231e+02
1.19700320e+01, -3.4032e+01, -1.7975e+02, 5.9933e+00, -1.7239e+02, 6.0788e+00, -1.7246e+02
1.22814026e+01, -3.3938e+01, -1.8039e+02, 6.0001e+00, -1.7262e+02, 6.0863e+00, -1.7270e+02
1.26008728e+01, -3.3877e+01, -1.8012e+02, 5.9989e+00, -1.7279e+02, 6.0858e+00, -1.7287e+02
1.29286532e+01, -3.4042e+01, -1.7980e+02, 6.0108e+00, -1.7294e+02, 6.0961e+00, -1.7301e+02
1.32649600e+01, -3.4097e+01, -1.8004e+02, 6.0132e+00, -1.7318e+02, 6.0980e+00, -1.7326e+02
1.36100150e+01, -3.3974e+01, -1.7991e+02, 6.0241e+00, -1.7329e+02, 6.1100e+00, -1.7336e+02
1.39640458e+01, -3.3959e+01, -1.7966e+02, 6.0372e+00, -1.7352e+02, 6.1232e+00, -1.7359e+02
1.43272857e+01, -3.4045e+01, -1.8018e+02, 6.0384e+00, -1.7360e+02, 6.1235e+00, -1.7367e+02
1.46999745e+01, -3.4037e+01, -1.8014e+02, 6.0410e+00, -1.7376e+02, 6.1261e+00, -1.7383e+02
1.50823578e+01, -3.3922e+01, -1.7943e+02, 6.0335e+00, -1.7397e+02, 6.1200e+00, -1.7403e+02
1.54746879e+01, -3.4097e+01, -1.8023e+02, 6.0449e+00, -1.7420e+02, 6.1295e+00, -1.7427e+02
1.58772235e+01, -3.4038e+01, -1.7997e+02, 6.0414e+00, -1.7420e+02, 6.1266e+00, -1.7427e+02
1.62902300e+01, -3.3901e+01, -1.8020e+02, 6.0471e+00, -1.7451e+02, 6.1337e+00, -1.7458e+02
1.67139799e+01, -3.3996e+01, -1.8010e+02, 6.0527e+00, -1.7454e+02, 6.1382e+00, -1.7460e+02
1.71487526e+01, -3.3993e+01, -1.8009e+02, 6.0569e+00, -1.7467e+02, 6.1425e+00, -1.7473e+02
1.75948348e+01, -3.4012e+01, -1.7994e+02, 6.0562e+00, -1.7485e+02, 6.1416e+00, -1.7491e+02
1.80525207e+01, -3.3972e+01, -1.7978e+02, 6.0605e+00, -1.7499e+02, 6.1463e+00, -1.7504e+02
1.85221122e+01, -3.4082e+01, -1.8057e+02, 6.0628e+00, -1.7511e+02, 6.1474e+00, -1.7517e+02
1.90039190e+01, -3.4059e+01, -1.8039e+02, 6.0688e+00, -1.7522e+02, 6.1537e+00, -1.7527e+02
1.94982587e+01, -3.3937e+01, -1.8014e+02, 6.0701e+00, -1.7528e+02, 6.1562e+00, -1.7533e+02
2.00054575e+01, -3.3907e+01, -1.8020e+02, 6.0709e+00, -1.7544e+02, 6.1573e+00, -1.7550e+02
2.05258498e+01, -3.4003e+01, -1.8046e+02, 6.0803e+00, -1.7563e+02, 6.1656e+00, -1.7568e+02
2.10597788e+01, -3.4079e+01, -1.7988e+02, 6.0760e+00, -1.7570e+02, 6.1606e+00, -1.7575e+02
2.16075967e+01, -3.4152e+01, -1.7960e+02, 6.0779e+00, -1.7583e+02, 6.1619e+00, -1.7588e+02
2.21696646e+01, -3.4093e+01, -1.8001e+02, 6.0723e+00, -1.7589e+02, 6.1569e+00, -1.7593e+02
2.27463534e+01, -3.3937e+01, -1.8019e+02, 6.0779e+00, -1.7612e+02, 6.1640e+00, -1.7617e+02
2.33380433e+01, -3.4061e+01, -1.7990e+02, 6.0835e+00, -1.7615e+02, 6.1683e+00, -1.7620e+02
2.39451245e+01, -3.4114e+01, -1.7959e+02, 6.0904e+00, -1.7627e+02, 6.1747e+00, -1.7631e+02
2.45679975e+01, -3.3995e+01, -1.7942e+02, 6.0843e+00, -1.7630e+02, 6.1698e+00, -1.7634e+02
2.52070729e+01, -3.3989e+01, -1.8054e+02, 6.0881e+00, -1.7645e+02, 6.1736e+00, -1.7650e+02
2.58627723e+01, -3.3879e+01, -1.8049e+02, 6.0912e+00, -1.7660e+02, 6.1778e+00, -1.7664e+02
2.65355281e+01, -3.4025e+01, -1.7964e+02, 6.0963e+00, -1.7666e+02, 6.1814e+00, -1.7669e+02
2.72257840e+01, -3.3859e+01, -1.7984e+02, 6.0912e+00, -1.7670e+02, 6.1779e+00, -1.7674e+02
2.79339951e+01, -3.4035e+01, -1.7991e+02, 6.0817e+00, -1.7674e+02, 6.1669e+00, -1.7678e+02
2.86606286e+01, -3.3965e+01, -1.8063e+02, 6.0966e+00, -1.7712e+02, 6.1823e+00, -1.7716e+02
2.94061637e+01, -3.3994e+01, -1.8002e+02, 6.1016e+00, -1.7698e+02, 6.1869e+00, -1.7702e+02
3.01710920e+01, -3.3950e+01, -1.8009e+02, 6.0925e+00, -1.7710e+02, 6.1784e+00, -1.7714e+02
3.09559181e+01, -3.4168e+01, -1.8098e+02, 6.0931e+00, -1.7710e+02, 6.1768e+00, -1.7715e+02
3.17611594e+01, -3.3951e+01, -1.8044e+02, 6.1034e+00, -1.7727e+02, 6.1892e+00, -1.7731e+02
3.25873471e+01, -3.3988e+01, -1.8162e+02, 6.0999e+00, -1.7725e+02, 6.1852e+00, -1.7730e+02
3.34350260e+01, -3.4043e+01, -1.8051e+02, 6.0888e+00, -1.7756e+02, 6.1738e+00, -1.7760e+02
3.43047552e+01, -3.3957e+01, -1.7969e+02, 6.0880e+00, -1.7742e+02, 6.1739e+00, -1.7746e+02
3.51971082e+01, -3.3990e+01, -1.8086e+02, 6.1092e+00, -1.7764e+02, 6.1946e+00, -1.7769e+02
3.61126735e+01, -3.4144e+01, -1.8024e+02, 6.1055e+00, -1.7764e+02, 6.1894e+00, -1.7768e+02
3.70520551e+01, -3.3859e+01, -1.7910e+02, 6.1044e+00, -1.7772e+02, 6.1912e+00, -1.7775e+02
3.80158723e+01, -3.4008e+01, -1.8101e+02, 6.1097e+00, -1.7786e+02, 6.1948e+00, -1.7791e+02
3.90047608e+01, -3.4081e+01, -1.8030e+02, 6.1135e+00, -1.7794e+02, 6.1980e+00, -1.7797e+02
4.00193728e+01, -3.4013e+01, -1.8035e+02, 6.1056e+00, -1.7790e+02, 6.1907e+00, -1.7794e+02
4.10603774e+01, -3.4058e+01, -1.7948e+02, 6.0982e+00, -1.7811e+02, 6.1831e+00, -1.7814e+02
4.21284611e+01, -3.3966e+01, -1.8098e+02, 6.1013e+00, -1.7812e+02, 6.1870e+00, -1.7816e+02
4.32243284e+01, -3.4087e+01, -1.8019e+02, 6.1181e+00, -1.7806e+02, 6.2025e+00, -1.7810e+02
4.43487019e+01, -3.4039e+01, -1.8062e+02, 6.1246e+00, -1.7825e+02, 6.2093e+00, -1.7829e+02
4.55023233e+01, -3.4067e+01, -1.7988e+02, 6.1037e+00, -1.7836e+02, 6.1885e+00, -1.7839e+02
4.66859532e+01, -3.4053e+01, -1.7926e+02, 6.1296e+00, -1.7804e+02, 6.2142e+00, -1.7807e+02
4.79003724e+01, -3.4112e+01, -1.8040e+02, 6.1213e+00, -1.7855e+02, 6.2054e+00, -1.7858e+02
4.91463816e+01, -3.4019e+01, -1.7957e+02, 6.1377e+00, -1.7810e+02, 6.2225e+00, -1.7813e+02
5.04248027e+01, -3.4021e+01, -1.8033e+02, 6.1072e+00, -1.7869e+02, 6.1923e+00, -1.7873e+02
5.17364787e+01, -3.4017e+01, -1.8043e+02, 6.1303e+00, -1.7846e+02, 6.2152e+00, -1.7850e+02
5.30822747e+01, -3.4017e+01, -1.7973e+02, 6.1222e+00, -1.7842e+02, 6.2072e+00, -1.7845e+02
5.44630782e+01, -3.4053e+01, -1.7946e+02, 6.0984e+00, -1.7859e+02, 6.1834e+00, -1.7862e+02
5.58798000e+01, -3.4024e+01, -1.7940e+02, 6.1061e+00, -1.7889e+02, 6.1913e+00, -1.7891e+02
5.73333742e+01, -3.4164e+01, -1.8122e+02, 6.1017e+00, -1.7890e+02, 6.1855e+00, -1.7894e+02
5.88247595e+01, -3.4078e+01, -1.8025e+02, 6.1538e+00, -1.7896e+02, 6.2379e+00, -1.7900e+02
6.03549396e+01, -3.3904e+01, -1.7963e+02, 6.1313e+00, -1.7908e+02, 6.2174e+00, -1.7911e+02
6.19249234e+01, -3.3886e+01, -1.8032e+02, 6.1156e+00, -1.7899e+02, 6.2020e+00, -1.7902e+02
6.35357465e+01, -3.3983e+01, -1.7937e+02, 6.1212e+00, -1.7884e+02, 6.2066e+00, -1.7887e+02
6.51884712e+01, -3.4086e+01, -1.8035e+02, 6.1049e+00, -1.7903e+02, 6.1895e+00, -1.7907e+02
6.68841874e+01, -3.3890e+01, -1.7944e+02, 6.1232e+00, -1.7897e+02, 6.2095e+00, -1.7900e+02
6.86240134e+01, -3.4048e+01, -1.7940e+02, 6.1500e+00, -1.7874e+02, 6.2345e+00, -1.7877e+02
7.04090967e+01, -3.3827e+01, -1.8067e+02, 6.1064e+00, -1.7952e+02, 6.1935e+00, -1.7956e+02
7.22406145e+01, -3.3958e+01, -1.8053e+02, 6.1025e+00, -1.7927e+02, 6.1883e+00, -1.7931e+02
7.41197747e+01, -3.4042e+01, -1.7986e+02, 6.1494e+00, -1.7909e+02, 6.2340e+00, -1.7912e+02
7.60478165e+01, -3.4058e+01, -1.8151e+02, 6.1144e+00, -1.7930e+02, 6.1990e+00, -1.7935e+02
7.80260116e+01, -3.3967e+01, -1.8023e+02, 6.1225e+00, -1.7952e+02, 6.2081e+00, -1.7956e+02
8.00556646e+01, -3.4025e+01, -1.8144e+02, 6.1008e+00, -1.7945e+02, 6.1859e+00, -1.7950e+02
8.21381139e+01, -3.3970e+01, -1.8046e+02, 6.1107e+00, -1.7951e+02, 6.1963e+00, -1.7955e+02
8.42747329e+01, -3.4132e+01, -1.7987e+02, 6.1114e+00, -1.7964e+02, 6.1954e+00, -1.7968e+02
8.64669308e+01, -3.4023e+01, -1.8041e+02, 6.1572e+00, -1.7927e+02, 6.2419e+00, -1.7931e+02
8.87161533e+01, -3.4051e+01, -1.8153e+02, 6.1199e+00, -1.7972e+02, 6.2046e+00, -1.7977e+02
9.10238837e+01, -3.3786e+01, -1.8171e+02, 6.0874e+00, -1.7986e+02, 6.1750e+00, -1.7992e+02
9.33916440e+01, -3.3896e+01, -1.8058e+02, 6.1727e+00, -1.7969e+02, 6.2585e+00, -1.7973e+02
9.58209956e+01, -3.3846e+01, -1.7936e+02, 6.0972e+00, -1.8018e+02, 6.1842e+00, -1.8021e+02
9.83135409e+01, -3.3899e+01, -1.8107e+02, 6.1454e+00, -1.7955e+02, 6.2313e+00, -1.7961e+02
1.00870923e+02, -3.3766e+01, -1.8145e+02, 6.1026e+00, -1.8018e+02, 6.1903e+00, -1.8023e+02
1.03494830e+02, -3.3801e+01, -1.8062e+02, 6.1678e+00, -1.8011e+02, 6.2545e+00, -1.8016e+02
1.06186991e+02, -3.3937e+01, -1.8152e+02, 6.1654e+00, -1.7980e+02, 6.2507e+00, -1.7986e+02
1.08949182e+02, -3.4165e+01, -1.8027e+02, 6.1544e+00, -1.7948e+02, 6.2378e+00, -1.7952e+02
1.11783224e+02, -3.3922e+01, -1.7943e+02, 6.1111e+00, -1.7976e+02, 6.1972e+00, -1.7980e+02
1.14690987e+02, -3.3837e+01, -1.8177e+02, 6.0574e+00, -1.8015e+02, 6.1448e+00, -1.8021e+02
1.17674388e+02, -3.3954e+01, -1.8001e+02, 6.0810e+00, -1.8039e+02, 6.1671e+00, -1.8043e+02
1.20735395e+02, -3.3928e+01, -1.7965e+02, 6.1038e+00, -1.8059e+02, 6.1899e+00, -1.8062e+02
1.23876027e+02, -3.4008e+01, -1.8126e+02, 6.0566e+00, -1.8031e+02, 6.1423e+00, -1.8036e+02
1.27098354e+02, -3.4025e+01, -1.7983e+02, 6.1140e+00, -1.7998e+02, 6.1991e+00, -1.8003e+02
1.30404502e+02, -3.3971e+01, -1.8170e+02, 6.1178e+00, -1.7981e+02, 6.2033e+00, -1.7987e+02
1.33796651e+02, -3.3839e+01, -1.8044e+02, 6.2111e+00, -1.8024e+02, 6.2970e+00, -1.8029e+02
1.37277039e+02, -3.4156e+01, -1.8047e+02, 6.1622e+00, -1.8075e+02, 6.2456e+00, -1.8080e+02
1.40847960e+02, -3.3813e+01, -1.8064e+02, 6.1773e+00, -1.8051e+02, 6.2638e+00, -1.8056e+02
1.44511770e+02, -3.4098e+01, -1.8101e+02, 6.0842e+00, -1.8044e+02, 6.1689e+00, -1.8050e+02
1.48270885e+02, -3.3979e+01, -1.8117e+02, 6.2172e+00, -1.8041e+02, 6.3017e+00, -1.8047e+02
1.52127784e+02, -3.3844e+01, -1.8034e+02, 6.0958e+00, -1.8091e+02, 6.1828e+00, -1.8096e+02
1.56085010e+02, -3.3947e+01, -1.8068e+02, 6.2363e+00, -1.8090e+02, 6.3209e+00, -1.8095e+02
1.60145174e+02, -3.3833e+01, -1.8113e+02, 6.1986e+00, -1.8067e+02, 6.2847e+00, -1.8073e+02
1.64310953e+02, -3.4052e+01, -1.8033e+02, 6.2000e+00, -1.8017e+02, 6.2839e+00, -1.8024e+02
1.68585095e+02, -3.3779e+01, -1.7949e+02, 6.0677e+00, -1.8074e+02, 6.1556e+00, -1.8079e+02
1.72970417e+02, -3.4168e+01, -1.8022e+02, 6.1820e+00, -1.8076e+02, 6.2650e+00, -1.8082e+02
1.77469813e+02, -3.4144e+01, -1.8189e+02, 6.0713e+00, -1.8074e+02, 6.1556e+00, -1.8082e+02
1.82086250e+02, -3.3878e+01, -1.8158e+02, 6.1057e+00, -1.8157e+02, 6.1922e+00, -1.8164e+02
1.86822771e+02, -3.4010e+01, -1.8082e+02, 6.1630e+00, -1.8098e+02, 6.2477e+00, -1.8105e+02
1.91682502e+02, -3.3924e+01, -1.8069e+02, 6.1669e+00, -1.8013e+02, 6.2524e+00, -1.8021e+02
1.96668646e+02, -3.3790e+01, -1.8128e+02, 6.1248e+00, -1.8057e+02, 6.2121e+00, -1.8065e+02
2.01784492e+02, -3.3910e+01, -1.8119e+02, 6.2444e+00, -1.8066e+02, 6.3293e+00, -1.8074e+02
2.07033415e+02, -3.4035e+01, -1.8131e+02, 6.1777e+00, -1.8128e+02, 6.2620e+00, -1.8136e+02
2.12418875e+02, -3.3822e+01, -1.8014e+02, 6.1946e+00, -1.8121e+02, 6.2808e+00, -1.8128e+02
2.17944424e+02, -3.3856e+01, -1.8061e+02, 6.3166e+00, -1.8171e+02, 6.4013e+00, -1.8178e+02
2.23613707e+02, -3.4189e+01, -1.8118e+02, 6.2332e+00, -1.8210e+02, 6.3155e+00, -1.8218e+02
2.29430463e+02, -3.4014e+01, -1.8110e+02, 6.2222e+00, -1.8053e+02, 6.3064e+00, -1.8062e+02
2.35398526e+02, -3.4007e+01, -1.8244e+02, 6.3293e+00, -1.8205e+02, 6.4125e+00, -1.8214e+02
2.41521834e+02, -3.4163e+01, -1.8097e+02, 6.1979e+00, -1.8052e+02, 6.2808e+00, -1.8061e+02
2.47804425e+02, -3.4018e+01, -1.8107e+02, 6.3412e+00, -1.8236e+02, 6.4241e+00, -1.8244e+02
2.54250442e+02, -3.3766e+01, -1.8177e+02, 6.3909e+00, -1.8144e+02, 6.4758e+00, -1.8154e+02
2.60864136e+02, -3.3933e+01, -1.8163e+02, 6.2109e+00, -1.8206e+02, 6.2959e+00, -1.8216e+02
2.67649868e+02, -3.4143e+01, -1.8200e+02, 6.2521e+00, -1.8230e+02, 6.3347e+00, -1.8240e+02
2.74612115e+02, -3.4069e+01, -1.8160e+02, 6.2466e+00, -1.8205e+02, 6.3300e+00, -1.8215e+02
2.81755467e+02, -3.4059e+01, -1.8153e+02, 6.2114e+00, -1.8216e+02, 6.2952e+00, -1.8226e+02
2.89084636e+02, -3.3895e+01, -1.8076e+02, 6.3167e+00, -1.8161e+02, 6.4011e+00, -1.8171e+02
2.96604455e+02, -3.3780e+01, -1.8265e+02, 6.2723e+00, -1.8152e+02, 6.3582e+00, -1.8164e+02
3.04319883e+02, -3.3805e+01, -1.8173e+02, 6.4026e+00, -1.8193e+02, 6.4870e+00, -1.8205e+02
3.12236009e+02, -3.3837e+01, -1.8205e+02, 6.2825e+00, -1.8237e+02, 6.3677e+00, -1.8248e+02
3.20358053e+02, -3.3893e+01, -1.8159e+02, 6.2635e+00, -1.8275e+02, 6.3484e+00, -1.8286e+02
