% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
3.09512684e-02, -3.4032e+01, -1.8055e+02, -1.4633e+01, -1.6941e+02, -1.3763e+01, -1.7049e+02
3.17563888e-02, -3.4037e+01, -1.7952e+02, -1.4655e+01, -1.6925e+02, -1.3782e+01, -1.7024e+02
3.25824524e-02, -3.4043e+01, -1.7997e+02, -1.4659e+01, -1.6904e+02, -1.3787e+01, -1.7010e+02
3.34300040e-02, -3.4061e+01, -1.7981e+02, -1.4601e+01, -1.6870e+02, -1.3737e+01, -1.6977e+02
3.42996025e-02, -3.3916e+01, -1.8005e+02, -1.4603e+01, -1.6815e+02, -1.3727e+01, -1.6931e+02
3.51918215e-02, -3.4008e+01, -1.8003e+02, -1.4588e+01, -1.6796e+02, -1.3723e+01, -1.6912e+02
3.61072493e-02, -3.3916e+01, -1.7972e+02, -1.4613e+01, -1.6773e+02, -1.3736e+01, -1.6890e+02
3.70464897e-02, -3.3906e+01, -1.7979e+02, -1.4589e+01, -1.6739e+02, -1.3714e+01, -1.6860e+02
3.80101622e-02, -3.3953e+01, -1.7955e+02, -1.4578e+01, -1.6717e+02, -1.3709e+01, -1.6836e+02
3.89989021e-02, -3.4040e+01, -1.7969e+02, -1.4550e+01, -1.6688e+02, -1.3694e+01, -1.6810e+02
4.00133617e-02, -3.3946e+01, -1.7960e+02, -1.4553e+01, -1.6672e+02, -1.3688e+01, -1.6796e+02
4.10542100e-02, -3.3958e+01, -1.7983e+02, -1.4493e+01, -1.6619e+02, -1.3636e+01, -1.6749e+02
4.21221333e-02, -3.4053e+01, -1.8005e+02, -1.4490e+01, -1.6567e+02, -1.3645e+01, -1.6703e+02
4.32178360e-02, -3.3920e+01, -1.8007e+02, -1.4474e+01, -1.6573e+02, -1.3618e+01, -1.6710e+02
4.43420407e-02, -3.4050e+01, -1.8014e+02, -1.4447e+01, -1.6517e+02, -1.3608e+01, -1.6657e+02
4.54954887e-02, -3.4048e+01, -1.8027e+02, -1.4437e+01, -1.6498e+02, -1.3599e+01, -1.6641e+02
4.66789409e-02, -3.3942e+01, -1.8033e+02, -1.4421e+01, -1.6435e+02, -1.3577e+01, -1.6586e+02
4.78931776e-02, -3.3964e+01, -1.7960e+02, -1.4431e+01, -1.6424e+02, -1.3587e+01, -1.6569e+02
4.91389997e-02, -3.4078e+01, -1.8017e+02, -1.4447e+01, -1.6361e+02, -1.3616e+01, -1.6516e+02
5.04172287e-02, -3.4076e+01, -1.8012e+02, -1.4390e+01, -1.6349e+02, -1.3564e+01, -1.6504e+02
5.17287077e-02, -3.4023e+01, -1.7970e+02, -1.4340e+01, -1.6290e+02, -1.3515e+01, -1.6447e+02
5.30743016e-02, -3.3986e+01, -1.7920e+02, -1.4306e+01, -1.6283e+02, -1.3479e+01, -1.6436e+02
5.44548977e-02, -3.4045e+01, -1.7966e+02, -1.4298e+01, -1.6218e+02, -1.3481e+01, -1.6379e+02
5.58714067e-02, -3.4027e+01, -1.7956e+02, -1.4276e+01, -1.6168e+02, -1.3461e+01, -1.6333e+02
5.73247626e-02, -3.3960e+01, -1.8023e+02, -1.4278e+01, -1.6137e+02, -1.3461e+01, -1.6312e+02
5.88159239e-02, -3.3969e+01, -1.8030e+02, -1.4207e+01, -1.6095e+02, -1.3399e+01, -1.6273e+02
6.03458741e-02, -3.4104e+01, -1.7967e+02, -1.4197e+01, -1.6045e+02, -1.3401e+01, -1.6219e+02
6.19156221e-02, -3.3993e+01, -1.8037e+02, -1.4167e+01, -1.5985e+02, -1.3370e+01, -1.6172e+02
6.35262033e-02, -3.3884e+01, -1.8008e+02, -1.4126e+01, -1.5958e+02, -1.3323e+01, -1.6146e+02
6.51786797e-02, -3.4100e+01, -1.7995e+02, -1.4090e+01, -1.5908e+02, -1.3311e+01, -1.6094e+02
6.68741412e-02, -3.4104e+01, -1.7997e+02, -1.4051e+01, -1.5860e+02, -1.3278e+01, -1.6050e+02
6.86137059e-02, -3.3972e+01, -1.7976e+02, -1.4038e+01, -1.5808e+02, -1.3255e+01, -1.6003e+02
7.03985211e-02, -3.3939e+01, -1.8015e+02, -1.3969e+01, -1.5774e+02, -1.3193e+01, -1.5974e+02
7.22297638e-02, -3.3874e+01, -1.7999e+02, -1.3960e+01, -1.5723e+02, -1.3181e+01, -1.5928e+02
