Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
8.04800233,1464214.7735931561,-2157036.1184495967,2157036.1184495967
8.16860761,1026667.7628217045,-2650611.616516753,2650611.616516753
8.29102026,446177.5849100142,-2869542.322456078,2869542.322456078
8.41526735,1223948.4982152367,-1733772.434720756,1733772.434720756
8.54137638,1118825.389585886,-1734680.5421880637,1734680.5421880637
8.66937524,992800.913380135,-1995347.8740875726,1995347.8740875726
8.79929226,146110.51437832386,-2179093.815965783,2179093.815965783
8.93115618,820278.7741982316,-2179082.325998588,2179082.325998588
9.06499619,781372.0330474145,-2068933.0746105069,2068933.0746105069
9.20084188,675634.0734008104,-1804760.4552348172,1804760.4552348172
9.33872332,854195.9347579746,-1933978.2505141138,1933978.2505141138
9.47867102,1021582.0453857979,-2043703.6662829728,2043703.6662829728
9.62071594,1204833.3909428932,-1698376.7528322176,1698376.7528322176
9.76488951,898147.1009323061,-2049534.1279154737,2049534.1279154737
9.91122363,538170.3443056548,-2434969.8804086773,2434969.8804086773
10.0597507,778550.3109664475,-1977983.5330566515,1977983.5330566515
10.2105035,559784.8235398713,-2154595.9730207906,2154595.9730207906
10.3635155,917284.6051059224,-1652172.0283672423,1652172.0283672423
10.5188204,642023.9673552514,-2301021.897824852,2301021.897824852
10.6764528,327938.4216231904,-2043277.3452256757,2043277.3452256757
10.8364473,888859.4125948306,-1709595.1706172926,1709595.1706172926
10.9988395,1066297.7154367333,-1848818.8239283469,1848818.8239283469
11.1636653,1026305.1956966763,-1954989.1422511449,1954989.1422511449
11.3309611,787340.5007861389,-1917922.6681588283,1917922.6681588283
11.500764,602625.9438744504,-2281976.4769131537,2281976.4769131537
11.6731115,724928.1835655837,-1480809.0678859877,1480809.0678859877
11.8480417,844438.3387900997,-1661531.0444610843,1661531.0444610843
12.0255934,1237009.3924232032,-1653965.8252432852,1653965.8252432852
12.2058058,605574.0250600085,-1482286.649200118,1482286.649200118
12.3887189,375218.723051943,-1519486.1415280048,1519486.1415280048
12.574373,584063.7116191623,-1724748.8810486307,1724748.8810486307
12.7628093,521330.71678638185,-1567543.3220625955,1567543.3220625955
12.9540695,500916.9797950506,-1738313.9777113677,1738313.9777113677
13.1481959,717343.7934469559,-1503334.7737225883,1503334.7737225883
13.3452313,677389.540904734,-2162875.4619950084,2162875.4619950084
13.5452195,393587.3355006636,-1743646.5737475897,1743646.5737475897
13.7482047,581888.3138986477,-1654112.008325864,1654112.008325864
13.9542317,619708.3118527429,-1555045.7324102628,1555045.7324102628
14.1633463,593148.2136643018,-1439441.9617273498,1439441.9617273498
14.3755945,391061.7295688196,-1497344.4143445496,1497344.4143445496
14.5910235,718949.2552648077,-1332502.3989200245,1332502.3989200245
14.8096808,440599.0940408087,-1435308.9042024538,1435308.9042024538
15.0316148,581178.1811425728,-1427194.4735793665,1427194.4735793665
15.2568747,450246.38558912795,-1331496.3994305553,1331496.3994305553
15.4855103,546139.2092217659,-1322542.7178326843,1322542.7178326843
15.7175722,315601.72692248394,-1449059.7555174567,1449059.7555174567
15.9531117,530125.5944255079,-1338466.627793751,1338466.627793751
16.1921809,541089.8724665495,-1244183.9700715835,1244183.9700715835
16.4348327,560687.1308241689,-1240629.5034146863,1240629.5034146863
16.6811209,646059.1711258813,-1203381.8747615966,1203381.8747615966
16.9310999,196851.6128567662,-1277630.6417843916,1277630.6417843916
17.184825,518344.4624408531,-1550787.2130813752,1550787.2130813752
17.4423523,293331.10724499956,-1533913.4890212468,1533913.4890212468
17.7037389,713295.0201641242,-1242113.0161783558,1242113.0161783558
17.9690426,379013.4349553702,-1307297.6146217044,1307297.6146217044
18.238322,277716.3568412203,-1178312.9745949295,1178312.9745949295
18.5116368,394379.5761008387,-1252641.5636680645,1252641.5636680645
18.7890474,712580.9903828952,-1155841.554849396,1155841.554849396
19.0706152,283710.0042486089,-1144876.4335586904,1144876.4335586904
19.3564026,462380.8835316623,-1078763.4301132245,1078763.4301132245
19.6464726,422360.5763096651,-1367975.6280843476,1367975.6280843476
19.9408896,497521.7470133154,-1266271.9906009394,1266271.9906009394
20.2397186,306437.8757513781,-1118077.855691251,1118077.855691251
20.5430258,460902.9602027892,-1268938.413057968,1268938.413057968
20.8508783,281743.019128635,-1171922.0814010731,1171922.0814010731
21.1633442,290926.1327535824,-1132180.0501781995,1132180.0501781995
21.4804926,306566.6293026381,-1149416.7367536665,1149416.7367536665
21.8023937,411173.6656972185,-1057495.2408180875,1057495.2408180875
22.1291188,372432.1054061557,-1232310.8428233294,1232310.8428233294
22.46074,250403.84534240424,-1085136.6454767915,1085136.6454767915
22.7973309,390029.406004497,-1091590.5336720503,1091590.5336720503
23.1389658,352755.55848551926,-946962.5688143728,946962.5688143728
23.4857204,294192.0473050824,-988485.7684250607,988485.7684250607
23.8376713,383085.9188232425,-1099146.2974413845,1099146.2974413845
24.1948965,410122.4421888172,-918990.9309822439,918990.9309822439
24.557475,450268.8427565972,-1041307.6132901204,1041307.6132901204
24.925487,253561.8572317967,-959964.4661481788,959964.4661481788
25.2990139,445124.6434222701,-930463.3632041507,930463.3632041507
25.6781384,228967.08703552675,-937837.8994369479,937837.8994369479
26.0629444,540118.0540797395,-1000638.2360540672,1000638.2360540672
26.4535169,150864.01779028366,-1011991.8545548022,1011991.8545548022
26.8499425,273588.7274495491,-859493.2889894674,859493.2889894674
27.2523088,135022.65599758632,-858608.71352146,858608.71352146
27.6607049,297897.87743412866,-919674.6081824704,919674.6081824704
28.0752211,354313.07039336924,-869084.7343675316,869084.7343675316
28.4959491,214225.43378724184,-1030289.2507495143,1030289.2507495143
28.922982,253835.34807854466,-901537.7958587421,901537.7958587421
29.3564144,232059.6084708471,-750730.1686804909,750730.1686804909
29.796342,349391.44385144545,-820803.5141618814,820803.5141618814
30.2428623,275876.2968872526,-865216.6635836684,865216.6635836684
30.6960741,315486.28178223385,-911790.4971236264,911790.4971236264
31.1560775,352994.3967111862,-731245.9565761853,731245.9565761853
31.6229745,291733.74281965825,-843238.2662793194,843238.2662793194
32.0968682,281154.5671102306,-719713.4123919713,719713.4123919713
32.5778636,296658.03859723714,-805425.2511347762,805425.2511347762
33.066067,242422.89461076094,-798258.3121604987,798258.3121604987
33.5615866,274739.88989206136,-798355.198535475,798355.198535475
34.0645319,208138.93348353833,-769421.2865654802,769421.2865654802
34.5750142,159604.51884185668,-666080.8782721933,666080.8782721933
35.0931464,263990.3451794014,-841313.488343099,841313.488343099
35.6190432,270230.9228082351,-742776.0337139071,742776.0337139071
36.152821,307127.4180631704,-683453.3028721364,683453.3028721364
36.6945979,289274.04232115316,-712467.4035581753,712467.4035581753
37.2444937,193133.14415361924,-730514.9665438881,730514.9665438881
37.80263,324099.1407134729,-705842.3725701093,705842.3725701093
38.3691305,207485.30939266755,-621441.6001175814,621441.6001175814
38.9441204,196564.2861911414,-658102.9901638912,658102.9901638912
39.5277269,166679.30034779207,-677218.7361015878,677218.7361015878
40.1200793,200930.52422971278,-599335.8666487248,599335.8666487248
40.7213084,241847.61872677953,-565335.224446065,565335.224446065
